,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,1621,1,2008,1621.0
1,2008-02-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,2019,2,2008,398.0
2,2008-03-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,2379,3,2008,360.0
3,2008-04-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,2794,4,2008,415.0
4,2008-05-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,3177,5,2008,383.0
5,2008-06-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,3438,6,2008,261.0
6,2008-07-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,3870,7,2008,432.0
7,2008-08-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,4369,8,2008,499.0
8,2008-09-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,4648,9,2008,279.0
9,2008-10-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,5050,10,2008,402.0
10,2008-11-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,5504,11,2008,454.0
11,2008-12-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,0,5922,12,2008,418.0
0,2009-01-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,1621,1724,1,2009,1724.0
1,2009-02-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2019,2128,2,2009,404.0
2,2009-03-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2379,2403,3,2009,275.0
3,2009-04-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2794,2770,4,2009,367.0
4,2009-05-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3177,3141,5,2009,371.0
5,2009-06-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3438,3394,6,2009,253.0
6,2009-07-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3870,3836,7,2009,442.0
7,2009-08-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,4369,4220,8,2009,384.0
