,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Alkoholsteuer,0,225,1,2008,225.0
1,2008-02-01,Alkoholsteuer,0,461,2,2008,236.0
2,2008-03-01,Alkoholsteuer,0,627,3,2008,166.0
3,2008-04-01,Alkoholsteuer,0,763,4,2008,136.0
4,2008-05-01,Alkoholsteuer,0,937,5,2008,174.0
5,2008-06-01,Alkoholsteuer,0,1107,6,2008,170.0
6,2008-07-01,Alkoholsteuer,0,1270,7,2008,163.0
7,2008-08-01,Alkoholsteuer,0,1424,8,2008,154.0
8,2008-09-01,Alkoholsteuer,0,1595,9,2008,171.0
9,2008-10-01,Alkoholsteuer,0,1757,10,2008,162.0
10,2008-11-01,Alkoholsteuer,0,1937,11,2008,180.0
11,2008-12-01,Alkoholsteuer,0,2129,12,2008,192.0
0,2009-01-01,Alkoholsteuer,225,200,1,2009,200.0
1,2009-02-01,Alkoholsteuer,461,455,2,2009,255.0
2,2009-03-01,Alkoholsteuer,627,594,3,2009,139.0
3,2009-04-01,Alkoholsteuer,763,734,4,2009,140.0
4,2009-05-01,Alkoholsteuer,937,910,5,2009,176.0
5,2009-06-01,Alkoholsteuer,1107,1073,6,2009,163.0
6,2009-07-01,Alkoholsteuer,1270,1230,7,2009,157.0
7,2009-08-01,Alkoholsteuer,1424,1391,8,2009,161.0
8,2009-09-01,Alkoholsteuer,1595,1561,9,2009,170.0
9,2009-10-01,Alkoholsteuer,1757,1721,10,2009,160.0
10,2009-11-01,Alkoholsteuer,1937,1894,11,2009,173.0
11,2009-12-01,Alkoholsteuer,2129,2103,12,2009,209.0
12,2010-01-01,Alkoholsteuer,200,189,1,2010,189.0
13,2010-02-01,Alkoholsteuer,455,397,2,2010,208.0
14,2010-03-01,Alkoholsteuer,594,527,3,2010,130.0
15,2010-04-01,Alkoholsteuer,734,660,4,2010,133.0
16,2010-05-01,Alkoholsteuer,910,848,5,2010,188.0
17,2010-06-01,Alkoholsteuer,1073,965,6,2010,117.0
18,2010-07-01,Alkoholsteuer,1230,1130,7,2010,165.0
19,2010-08-01,Alkoholsteuer,1391,1289,8,2010,159.0
20,2010-09-01,Alkoholsteuer,1561,1455,9,2010,166.0
21,2010-10-01,Alkoholsteuer,1721,1619,10,2010,164.0
22,2010-11-01,Alkoholsteuer,1894,1794,11,2010,175.0
23,2010-12-01,Alkoholsteuer,2103,1993,12,2010,199.0
24,2011-01-01,Alkoholsteuer,189,195,1,2011,195.0
25,2011-02-01,Alkoholsteuer,397,456,2,2011,261.0
26,2011-03-01,Alkoholsteuer,527,575,3,2011,119.0
27,2011-04-01,Alkoholsteuer,660,717,4,2011,142.0
28,2011-05-01,Alkoholsteuer,848,887,5,2011,170.0
29,2011-06-01,Alkoholsteuer,965,1057,6,2011,170.0
30,2011-07-01,Alkoholsteuer,1130,1220,7,2011,163.0
31,2011-08-01,Alkoholsteuer,1289,1394,8,2011,174.0
32,2011-09-01,Alkoholsteuer,1455,1598,9,2011,204.0
33,2011-10-01,Alkoholsteuer,1619,1776,10,2011,178.0
34,2011-11-01,Alkoholsteuer,1794,1948,11,2011,172.0
35,2011-12-01,Alkoholsteuer,1993,2151,12,2011,203.0
36,2012-01-01,Alkoholsteuer,195,203,1,2012,203.0
37,2012-02-01,Alkoholsteuer,456,449,2,2012,246.0
38,2012-03-01,Alkoholsteuer,575,577,3,2012,128.0
39,2012-04-01,Alkoholsteuer,717,726,4,2012,149.0
40,2012-05-01,Alkoholsteuer,887,903,5,2012,177.0
41,2012-06-01,Alkoholsteuer,1057,1067,6,2012,164.0
42,2012-07-01,Alkoholsteuer,1220,1245,7,2012,178.0
43,2012-08-01,Alkoholsteuer,1394,1406,8,2012,161.0
44,2012-09-01,Alkoholsteuer,1598,1574,9,2012,168.0
45,2012-10-01,Alkoholsteuer,1776,1737,10,2012,163.0
46,2012-11-01,Alkoholsteuer,1948,1904,11,2012,167.0
47,2012-12-01,Alkoholsteuer,2151,2123,12,2012,219.0
48,2013-01-01,Alkoholsteuer,203,206,1,2013,206.0
49,2013-02-01,Alkoholsteuer,449,425,2,2013,219.0
50,2013-03-01,Alkoholsteuer,577,580,3,2013,155.0
51,2013-04-01,Alkoholsteuer,726,721,4,2013,141.0
52,2013-05-01,Alkoholsteuer,903,903,5,2013,182.0
53,2013-06-01,Alkoholsteuer,1067,1052,6,2013,149.0
54,2013-07-01,Alkoholsteuer,1245,1222,7,2013,170.0
55,2013-08-01,Alkoholsteuer,1406,1380,8,2013,158.0
56,2013-09-01,Alkoholsteuer,1574,1559,9,2013,179.0
57,2013-10-01,Alkoholsteuer,1737,1718,10,2013,159.0
58,2013-11-01,Alkoholsteuer,1904,1888,11,2013,170.0
59,2013-12-01,Alkoholsteuer,2123,2104,12,2013,216.0
60,2014-01-01,Alkoholsteuer,206,197,1,2014,197.0
61,2014-02-01,Alkoholsteuer,425,421,2,2014,224.0
62,2014-03-01,Alkoholsteuer,580,556,3,2014,135.0
63,2014-04-01,Alkoholsteuer,721,699,4,2014,143.0
64,2014-05-01,Alkoholsteuer,903,858,5,2014,159.0
65,2014-06-01,Alkoholsteuer,1052,1026,6,2014,168.0
66,2014-07-01,Alkoholsteuer,1222,1181,7,2014,155.0
67,2014-08-01,Alkoholsteuer,1380,1355,8,2014,174.0
68,2014-09-01,Alkoholsteuer,1559,1526,9,2014,171.0
69,2014-10-01,Alkoholsteuer,1718,1674,10,2014,148.0
70,2014-11-01,Alkoholsteuer,1888,1844,11,2014,170.0
71,2014-12-01,Alkoholsteuer,2104,2061,12,2014,217.0
72,2015-01-01,Alkoholsteuer,197,189,1,2015,189.0
73,2015-02-01,Alkoholsteuer,421,431,2,2015,242.0
74,2015-03-01,Alkoholsteuer,556,570,3,2015,139.0
75,2015-04-01,Alkoholsteuer,699,708,4,2015,138.0
76,2015-05-01,Alkoholsteuer,858,892,5,2015,184.0
77,2015-06-01,Alkoholsteuer,1026,1041,6,2015,149.0
78,2015-07-01,Alkoholsteuer,1181,1197,7,2015,156.0
79,2015-08-01,Alkoholsteuer,1355,1366,8,2015,169.0
80,2015-09-01,Alkoholsteuer,1526,1537,9,2015,171.0
81,2015-10-01,Alkoholsteuer,1674,1690,10,2015,153.0
82,2015-11-01,Alkoholsteuer,1844,1865,11,2015,175.0
83,2015-12-01,Alkoholsteuer,2061,2072,12,2015,207.0
84,2016-01-01,Alkoholsteuer,189,195,1,2016,195.0
85,2016-02-01,Alkoholsteuer,431,434,2,2016,239.0
86,2016-03-01,Alkoholsteuer,570,566,3,2016,132.0
87,2016-04-01,Alkoholsteuer,708,708,4,2016,142.0
88,2016-05-01,Alkoholsteuer,892,886,5,2016,178.0
89,2016-06-01,Alkoholsteuer,1041,1039,6,2016,153.0
90,2016-07-01,Alkoholsteuer,1197,1210,7,2016,171.0
91,2016-08-01,Alkoholsteuer,1366,1375,8,2016,165.0
92,2016-09-01,Alkoholsteuer,1537,1539,9,2016,164.0
93,2016-10-01,Alkoholsteuer,1690,1710,10,2016,171.0
94,2016-11-01,Alkoholsteuer,1865,1873,11,2016,163.0
95,2016-12-01,Alkoholsteuer,2072,2072,12,2016,199.0
96,2017-01-01,Alkoholsteuer,195,214,1,2017,214.0
97,2017-02-01,Alkoholsteuer,434,453,2,2017,239.0
98,2017-03-01,Alkoholsteuer,566,578,3,2017,125.0
99,2017-04-01,Alkoholsteuer,708,718,4,2017,140.0
100,2017-05-01,Alkoholsteuer,886,900,5,2017,182.0
101,2017-06-01,Alkoholsteuer,1039,1055,6,2017,155.0
102,2017-07-01,Alkoholsteuer,1210,1229,7,2017,174.0
103,2017-08-01,Alkoholsteuer,1375,1396,8,2017,167.0
104,2017-09-01,Alkoholsteuer,1539,1557,9,2017,161.0
105,2017-10-01,Alkoholsteuer,1710,1734,10,2017,177.0
106,2017-11-01,Alkoholsteuer,1873,1904,11,2017,170.0
107,2017-12-01,Alkoholsteuer,2072,2096,12,2017,192.0
