,Date,Category,1,2,3,4,Prior Year Total,Current Year Total,7,Month,Year,Monthly Total
0,2008-01-01,BNE-Eigenmittel der EU,-15 340,-18 980,-9,"0,0",0,-1438,"-13,9",1,2008,-1438.0
1,2008-02-01,BNE-Eigenmittel der EU,-15 340,-18 980,"-11,1","-10,0",0,-4122,"-11,7",2,2008,-2684.0
2,2008-03-01,BNE-Eigenmittel der EU,-15 340,-18 980,"-9,3","-8,1",0,-5449,"-10,1",3,2008,-1327.0
3,2008-04-01,BNE-Eigenmittel der EU,-15 340,-18 980,"-8,5","-7,8",0,-6775,"-9,2",4,2008,-1326.0
4,2008-05-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-7,4","-6,7",0,-7589,"-9,0",5,2008,-814.0
5,2008-06-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-6,5","-4,8",0,-8253,"-26,5",6,2008,-664.0
6,2008-07-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,9","-4,4",0,-8771,"-24,8",7,2008,-518.0
7,2008-08-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,6","-4,7",0,-9547,"-18,6",8,2008,-776.0
8,2008-09-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,4","-4,6",0,-10452,"-16,8",9,2008,-905.0
9,2008-10-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,8","-5,7",0,-12166,"-3,9",10,2008,-1714.0
10,2008-11-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,8","-5,9",0,-13501,"-2,4",11,2008,-1335.0
11,2008-12-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,7","-5,8",0,-15340,"-3,0",12,2008,-1839.0
0,2009-01-01,BNE-Eigenmittel der EU,-15 340,-18 980,-9,"0,0",-1438,-1238,"-13,9",1,2009,-1238.0
1,2009-02-01,BNE-Eigenmittel der EU,-15 340,-18 980,"-11,1","-10,0",-4122,-3639,"-11,7",2,2009,-2401.0
2,2009-03-01,BNE-Eigenmittel der EU,-15 340,-18 980,"-9,3","-8,1",-5449,-4896,"-10,1",3,2009,-1257.0
3,2009-04-01,BNE-Eigenmittel der EU,-15 340,-18 980,"-8,5","-7,8",-6775,-6152,"-9,2",4,2009,-1256.0
4,2009-05-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-7,4","-6,7",-7589,-6905,"-9,0",5,2009,-753.0
5,2009-06-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-6,5","-4,8",-8253,-6068,"-26,5",6,2009,837.0
6,2009-07-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,9","-4,4",-8771,-6593,"-24,8",7,2009,-525.0
7,2009-08-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,6","-4,7",-9547,-7775,"-18,6",8,2009,-1182.0
8,2009-09-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,4","-4,6",-10452,-8694,"-16,8",9,2009,-919.0
9,2009-10-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,8","-5,7",-12166,-11690,"-3,9",10,2009,-2996.0
10,2009-11-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,8","-5,9",-13501,-13171,"-2,4",11,2009,-1481.0
11,2009-12-01,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,7","-5,8",-15340,-14880,"-3,0",12,2009,-1709.0
12,2010-01-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-7,1","-12,3",-1238,-2025,"63,6",1,2010,-2025.0
13,2010-02-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-10,0","-17,8",-3639,-5676,"56,0",2,2010,-3651.0
14,2010-03-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-8,1","-12,0",-4896,-6475,"32,3",3,2010,-799.0
15,2010-04-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-7,8","-9,7",-6152,-7275,"18,3",4,2010,-800.0
16,2010-05-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-6,7","-9,1",-6905,-8553,"23,9",5,2010,-1278.0
17,2010-06-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-4,8","-7,5",-6068,-9193,"51,5",6,2010,-640.0
18,2010-07-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-4,4","-7,3",-6593,-10473,"58,9",7,2010,-1280.0
19,2010-08-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-4,7","-7,3",-7775,-11765,"51,3",8,2010,-1292.0
20,2010-09-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-4,6","-7,4",-8694,-13326,"53,3",9,2010,-1561.0
21,2010-10-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-5,7","-7,4",-11690,-14886,"27,3",10,2010,-1560.0
22,2010-11-01,BNE-Eigenmittel der EU,-14 880,-22 030,"-5,9","-7,6",-13171,-16518,"25,4",11,2010,-1632.0
