,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Energiesteuer,0,373,1,2008,373.0
1,2008-02-01,Energiesteuer,0,1627,2,2008,1254.0
2,2008-03-01,Energiesteuer,0,4668,3,2008,3041.0
3,2008-04-01,Energiesteuer,0,7767,4,2008,3099.0
4,2008-05-01,Energiesteuer,0,10877,5,2008,3110.0
5,2008-06-01,Energiesteuer,0,14238,6,2008,3361.0
6,2008-07-01,Energiesteuer,0,17417,7,2008,3179.0
7,2008-08-01,Energiesteuer,0,20601,8,2008,3184.0
8,2008-09-01,Energiesteuer,0,24045,9,2008,3444.0
9,2008-10-01,Energiesteuer,0,27217,10,2008,3172.0
10,2008-11-01,Energiesteuer,0,30753,11,2008,3536.0
11,2008-12-01,Energiesteuer,0,39248,12,2008,8495.0
0,2009-01-01,Energiesteuer,373,319,1,2009,319.0
1,2009-02-01,Energiesteuer,1627,1795,2,2009,1476.0
2,2009-03-01,Energiesteuer,4668,4777,3,2009,2982.0
3,2009-04-01,Energiesteuer,7767,7848,4,2009,3071.0
4,2009-05-01,Energiesteuer,10877,11194,5,2009,3346.0
5,2009-06-01,Energiesteuer,14238,14836,6,2009,3642.0
6,2009-07-01,Energiesteuer,17417,18028,7,2009,3192.0
7,2009-08-01,Energiesteuer,20601,21195,8,2009,3167.0
8,2009-09-01,Energiesteuer,24045,24718,9,2009,3523.0
9,2009-10-01,Energiesteuer,27217,28018,10,2009,3300.0
10,2009-11-01,Energiesteuer,30753,31580,11,2009,3562.0
11,2009-12-01,Energiesteuer,39248,39822,12,2009,8242.0
12,2010-01-01,Energiesteuer,319,272,1,2010,272.0
13,2010-02-01,Energiesteuer,1795,1666,2,2010,1394.0
14,2010-03-01,Energiesteuer,4777,4446,3,2010,2780.0
15,2010-04-01,Energiesteuer,7848,7212,4,2010,2766.0
16,2010-05-01,Energiesteuer,11194,10685,5,2010,3473.0
17,2010-06-01,Energiesteuer,14836,14041,6,2010,3356.0
18,2010-07-01,Energiesteuer,18028,17348,7,2010,3307.0
19,2010-08-01,Energiesteuer,21195,20707,8,2010,3359.0
20,2010-09-01,Energiesteuer,24718,24213,9,2010,3506.0
