,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Ergänzungszuweisungen an Länder,0,0,1,2008,0.0
1,2008-02-01,Ergänzungszuweisungen an Länder,0,0,2,2008,0.0
2,2008-03-01,Ergänzungszuweisungen an Länder,0,-3603,3,2008,-3603.0
3,2008-04-01,Ergänzungszuweisungen an Länder,0,-3603,4,2008,0.0
4,2008-05-01,Ergänzungszuweisungen an Länder,0,-3613,5,2008,-10.0
5,2008-06-01,Ergänzungszuweisungen an Länder,0,-7259,6,2008,-3646.0
6,2008-07-01,Ergänzungszuweisungen an Länder,0,-7259,7,2008,0.0
7,2008-08-01,Ergänzungszuweisungen an Länder,0,-7259,8,2008,0.0
8,2008-09-01,Ergänzungszuweisungen an Länder,0,-11093,9,2008,-3834.0
9,2008-10-01,Ergänzungszuweisungen an Länder,0,-11093,10,2008,0.0
10,2008-11-01,Ergänzungszuweisungen an Länder,0,-11093,11,2008,0.0
11,2008-12-01,Ergänzungszuweisungen an Länder,0,-14850,12,2008,-3757.0
0,2009-01-01,Ergänzungszuweisungen an Länder,0,0,1,2009,0.0
1,2009-02-01,Ergänzungszuweisungen an Länder,0,0,2,2009,0.0
2,2009-03-01,Ergänzungszuweisungen an Länder,-3603,-3445,3,2009,-3445.0
3,2009-04-01,Ergänzungszuweisungen an Länder,-3603,-3445,4,2009,0.0
4,2009-05-01,Ergänzungszuweisungen an Länder,-3613,-3445,5,2009,0.0
5,2009-06-01,Ergänzungszuweisungen an Länder,-7259,-6891,6,2009,-3446.0
6,2009-07-01,Ergänzungszuweisungen an Länder,-7259,-6891,7,2009,0.0
7,2009-08-01,Ergänzungszuweisungen an Länder,-7259,-6891,8,2009,0.0
8,2009-09-01,Ergänzungszuweisungen an Länder,-11093,-10245,9,2009,-3354.0
9,2009-10-01,Ergänzungszuweisungen an Länder,-11093,-10245,10,2009,0.0
10,2009-11-01,Ergänzungszuweisungen an Länder,-11093,-10245,11,2009,0.0
11,2009-12-01,Ergänzungszuweisungen an Länder,-14850,-13462,12,2009,-3217.0
12,2010-01-01,Ergänzungszuweisungen an Länder,0,0,1,2010,0.0
13,2010-02-01,Ergänzungszuweisungen an Länder,0,0,2,2010,0.0
14,2010-03-01,Ergänzungszuweisungen an Länder,-3445,-3188,3,2010,-3188.0
15,2010-04-01,Ergänzungszuweisungen an Länder,-3445,-3188,4,2010,0.0
16,2010-05-01,Ergänzungszuweisungen an Länder,-3445,-3188,5,2010,0.0
17,2010-06-01,Ergänzungszuweisungen an Länder,-6891,-6348,6,2010,-3160.0
18,2010-07-01,Ergänzungszuweisungen an Länder,-6891,-6348,7,2010,0.0
19,2010-08-01,Ergänzungszuweisungen an Länder,-6891,-6348,8,2010,0.0
20,2010-09-01,Ergänzungszuweisungen an Länder,-10245,-9731,9,2010,-3383.0
21,2010-10-01,Ergänzungszuweisungen an Länder,-10245,-9731,10,2010,0.0
22,2010-11-01,Ergänzungszuweisungen an Länder,-10245,-9710,11,2010,21.0
23,2010-12-01,Ergänzungszuweisungen an Länder,-13462,-12880,12,2010,-3170.0
24,2011-01-01,Ergänzungszuweisungen an Länder,0,0,1,2011,0.0
25,2011-02-01,Ergänzungszuweisungen an Länder,0,0,2,2011,0.0
26,2011-03-01,Ergänzungszuweisungen an Länder,-3188,-2996,3,2011,-2996.0
27,2011-04-01,Ergänzungszuweisungen an Länder,-3188,-2996,4,2011,0.0
28,2011-05-01,Ergänzungszuweisungen an Länder,-3188,-2996,5,2011,0.0
29,2011-06-01,Ergänzungszuweisungen an Länder,-6348,-6104,6,2011,-3108.0
