,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Kaffeesteuer,0,93,1,2008,93.0
1,2008-02-01,Kaffeesteuer,0,164,2,2008,71.0
2,2008-03-01,Kaffeesteuer,0,232,3,2008,68.0
3,2008-04-01,Kaffeesteuer,0,321,4,2008,89.0
4,2008-05-01,Kaffeesteuer,0,406,5,2008,85.0
5,2008-06-01,Kaffeesteuer,0,481,6,2008,75.0
6,2008-07-01,Kaffeesteuer,0,559,7,2008,78.0
7,2008-08-01,Kaffeesteuer,0,640,8,2008,81.0
8,2008-09-01,Kaffeesteuer,0,721,9,2008,81.0
9,2008-10-01,Kaffeesteuer,0,809,10,2008,88.0
10,2008-11-01,Kaffeesteuer,0,906,11,2008,97.0
11,2008-12-01,Kaffeesteuer,0,1008,12,2008,102.0
0,2009-01-01,Kaffeesteuer,93,94,1,2009,94.0
1,2009-02-01,Kaffeesteuer,164,158,2,2009,64.0
2,2009-03-01,Kaffeesteuer,232,225,3,2009,67.0
3,2009-04-01,Kaffeesteuer,321,321,4,2009,96.0
4,2009-05-01,Kaffeesteuer,406,410,5,2009,89.0
5,2009-06-01,Kaffeesteuer,481,488,6,2009,78.0
6,2009-07-01,Kaffeesteuer,559,563,7,2009,75.0
7,2009-08-01,Kaffeesteuer,640,643,8,2009,80.0
8,2009-09-01,Kaffeesteuer,721,722,9,2009,79.0
9,2009-10-01,Kaffeesteuer,809,807,10,2009,85.0
10,2009-11-01,Kaffeesteuer,906,898,11,2009,91.0
11,2009-12-01,Kaffeesteuer,1008,997,12,2009,99.0
12,2010-01-01,Kaffeesteuer,94,104,1,2010,104.0
13,2010-02-01,Kaffeesteuer,158,168,2,2010,64.0
14,2010-03-01,Kaffeesteuer,225,238,3,2010,70.0
15,2010-04-01,Kaffeesteuer,321,338,4,2010,100.0
16,2010-05-01,Kaffeesteuer,410,422,5,2010,84.0
17,2010-06-01,Kaffeesteuer,488,500,6,2010,78.0
18,2010-07-01,Kaffeesteuer,563,580,7,2010,80.0
19,2010-08-01,Kaffeesteuer,643,660,8,2010,80.0
20,2010-09-01,Kaffeesteuer,722,747,9,2010,87.0
21,2010-10-01,Kaffeesteuer,807,831,10,2010,84.0
22,2010-11-01,Kaffeesteuer,898,908,11,2010,77.0
23,2010-12-01,Kaffeesteuer,997,1002,12,2010,94.0
24,2011-01-01,Kaffeesteuer,104,101,1,2011,101.0
25,2011-02-01,Kaffeesteuer,168,178,2,2011,77.0
26,2011-03-01,Kaffeesteuer,238,248,3,2011,70.0
27,2011-04-01,Kaffeesteuer,338,343,4,2011,95.0
28,2011-05-01,Kaffeesteuer,422,432,5,2011,89.0
29,2011-06-01,Kaffeesteuer,500,521,6,2011,89.0
30,2011-07-01,Kaffeesteuer,580,600,7,2011,79.0
31,2011-08-01,Kaffeesteuer,660,679,8,2011,79.0
32,2011-09-01,Kaffeesteuer,747,759,9,2011,80.0
33,2011-10-01,Kaffeesteuer,831,844,10,2011,85.0
34,2011-11-01,Kaffeesteuer,908,926,11,2011,82.0
35,2011-12-01,Kaffeesteuer,1002,1028,12,2011,102.0
36,2012-01-01,Kaffeesteuer,101,98,1,2012,98.0
37,2012-02-01,Kaffeesteuer,178,171,2,2012,73.0
38,2012-03-01,Kaffeesteuer,248,256,3,2012,85.0
39,2012-04-01,Kaffeesteuer,343,357,4,2012,101.0
40,2012-05-01,Kaffeesteuer,432,435,5,2012,78.0
41,2012-06-01,Kaffeesteuer,521,523,6,2012,88.0
42,2012-07-01,Kaffeesteuer,600,605,7,2012,82.0
43,2012-08-01,Kaffeesteuer,679,685,8,2012,80.0
44,2012-09-01,Kaffeesteuer,759,769,9,2012,84.0
45,2012-10-01,Kaffeesteuer,844,849,10,2012,80.0
46,2012-11-01,Kaffeesteuer,926,950,11,2012,101.0
47,2012-12-01,Kaffeesteuer,1028,1054,12,2012,104.0
48,2013-01-01,Kaffeesteuer,98,95,1,2013,95.0
49,2013-02-01,Kaffeesteuer,171,164,2,2013,69.0
50,2013-03-01,Kaffeesteuer,256,238,3,2013,74.0
51,2013-04-01,Kaffeesteuer,357,333,4,2013,95.0
52,2013-05-01,Kaffeesteuer,435,420,5,2013,87.0
53,2013-06-01,Kaffeesteuer,523,500,6,2013,80.0
54,2013-07-01,Kaffeesteuer,605,578,7,2013,78.0
55,2013-08-01,Kaffeesteuer,685,660,8,2013,82.0
56,2013-09-01,Kaffeesteuer,769,739,9,2013,79.0
57,2013-10-01,Kaffeesteuer,849,829,10,2013,90.0
58,2013-11-01,Kaffeesteuer,950,922,11,2013,93.0
59,2013-12-01,Kaffeesteuer,1054,1021,12,2013,99.0
60,2014-01-01,Kaffeesteuer,95,104,1,2014,104.0
61,2014-02-01,Kaffeesteuer,164,176,2,2014,72.0
62,2014-03-01,Kaffeesteuer,238,251,3,2014,75.0
63,2014-04-01,Kaffeesteuer,333,339,4,2014,88.0
64,2014-05-01,Kaffeesteuer,420,429,5,2014,90.0
65,2014-06-01,Kaffeesteuer,500,508,6,2014,79.0
66,2014-07-01,Kaffeesteuer,578,580,7,2014,72.0
67,2014-08-01,Kaffeesteuer,660,658,8,2014,78.0
68,2014-09-01,Kaffeesteuer,739,739,9,2014,81.0
69,2014-10-01,Kaffeesteuer,829,832,10,2014,93.0
70,2014-11-01,Kaffeesteuer,922,921,11,2014,89.0
71,2014-12-01,Kaffeesteuer,1021,1016,12,2014,95.0
72,2015-01-01,Kaffeesteuer,104,105,1,2015,105.0
73,2015-02-01,Kaffeesteuer,176,179,2,2015,74.0
74,2015-03-01,Kaffeesteuer,251,253,3,2015,74.0
75,2015-04-01,Kaffeesteuer,339,363,4,2015,110.0
76,2015-05-01,Kaffeesteuer,429,443,5,2015,80.0
77,2015-06-01,Kaffeesteuer,508,523,6,2015,80.0
78,2015-07-01,Kaffeesteuer,580,600,7,2015,77.0
79,2015-08-01,Kaffeesteuer,658,675,8,2015,75.0
80,2015-09-01,Kaffeesteuer,739,753,9,2015,78.0
81,2015-10-01,Kaffeesteuer,832,845,10,2015,92.0
82,2015-11-01,Kaffeesteuer,921,937,11,2015,92.0
83,2015-12-01,Kaffeesteuer,1016,1032,12,2015,95.0
84,2016-01-01,Kaffeesteuer,105,108,1,2016,108.0
85,2016-02-01,Kaffeesteuer,179,171,2,2016,63.0
86,2016-03-01,Kaffeesteuer,253,255,3,2016,84.0
87,2016-04-01,Kaffeesteuer,363,349,4,2016,94.0
88,2016-05-01,Kaffeesteuer,443,428,5,2016,79.0
89,2016-06-01,Kaffeesteuer,523,506,6,2016,78.0
90,2016-07-01,Kaffeesteuer,600,589,7,2016,83.0
91,2016-08-01,Kaffeesteuer,675,675,8,2016,86.0
92,2016-09-01,Kaffeesteuer,753,766,9,2016,91.0
93,2016-10-01,Kaffeesteuer,845,853,10,2016,87.0
94,2016-11-01,Kaffeesteuer,937,939,11,2016,86.0
95,2016-12-01,Kaffeesteuer,1032,1040,12,2016,101.0
96,2017-01-01,Kaffeesteuer,108,96,1,2017,96.0
97,2017-02-01,Kaffeesteuer,171,170,2,2017,74.0
98,2017-03-01,Kaffeesteuer,255,249,3,2017,79.0
99,2017-04-01,Kaffeesteuer,349,347,4,2017,98.0
100,2017-05-01,Kaffeesteuer,428,428,5,2017,81.0
101,2017-06-01,Kaffeesteuer,506,518,6,2017,90.0
102,2017-07-01,Kaffeesteuer,589,596,7,2017,78.0
103,2017-08-01,Kaffeesteuer,675,672,8,2017,76.0
104,2017-09-01,Kaffeesteuer,766,763,9,2017,91.0
105,2017-10-01,Kaffeesteuer,853,855,10,2017,92.0
