,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-07-01,Kraftfahrzeugsteuer,0,0,7,2008,
1,2008-08-01,Kraftfahrzeugsteuer,0,0,8,2008,0.0
2,2008-09-01,Kraftfahrzeugsteuer,0,0,9,2008,0.0
3,2008-10-01,Kraftfahrzeugsteuer,0,0,10,2008,0.0
4,2008-11-01,Kraftfahrzeugsteuer,0,0,11,2008,0.0
5,2008-12-01,Kraftfahrzeugsteuer,0,0,12,2008,0.0
0,2009-07-01,Kraftfahrzeugsteuer,0,612,7,2009,612.0
1,2009-08-01,Kraftfahrzeugsteuer,0,1239,8,2009,627.0
2,2009-09-01,Kraftfahrzeugsteuer,0,1907,9,2009,668.0
3,2009-10-01,Kraftfahrzeugsteuer,0,2540,10,2009,633.0
4,2009-11-01,Kraftfahrzeugsteuer,0,3133,11,2009,593.0
5,2009-12-01,Kraftfahrzeugsteuer,0,3803,12,2009,670.0
6,2010-01-01,Kraftfahrzeugsteuer,0,960,1,2010,960.0
7,2010-02-01,Kraftfahrzeugsteuer,0,1536,2,2010,576.0
8,2010-03-01,Kraftfahrzeugsteuer,0,2345,3,2010,809.0
9,2010-04-01,Kraftfahrzeugsteuer,0,3149,4,2010,804.0
10,2010-05-01,Kraftfahrzeugsteuer,0,3867,5,2010,718.0
11,2010-06-01,Kraftfahrzeugsteuer,0,4581,6,2010,714.0
12,2010-07-01,Kraftfahrzeugsteuer,661,5303,7,2010,722.0
13,2010-08-01,Kraftfahrzeugsteuer,1239,5951,8,2010,648.0
14,2010-09-01,Kraftfahrzeugsteuer,1907,6592,9,2010,641.0
15,2010-10-01,Kraftfahrzeugsteuer,2540,7196,10,2010,604.0
16,2010-11-01,Kraftfahrzeugsteuer,3133,7831,11,2010,635.0
17,2010-12-01,Kraftfahrzeugsteuer,3803,8488,12,2010,657.0
18,2011-01-01,Kraftfahrzeugsteuer,960,979,1,2011,979.0
19,2011-02-01,Kraftfahrzeugsteuer,1536,1532,2,2011,553.0
20,2011-03-01,Kraftfahrzeugsteuer,2345,2349,3,2011,817.0
21,2011-04-01,Kraftfahrzeugsteuer,3149,3062,4,2011,713.0
22,2011-05-01,Kraftfahrzeugsteuer,3867,3857,5,2011,795.0
23,2011-06-01,Kraftfahrzeugsteuer,4581,4564,6,2011,707.0
24,2011-07-01,Kraftfahrzeugsteuer,5303,5227,7,2011,663.0
25,2011-08-01,Kraftfahrzeugsteuer,5951,5913,8,2011,686.0
26,2011-09-01,Kraftfahrzeugsteuer,6592,6570,9,2011,657.0
27,2011-10-01,Kraftfahrzeugsteuer,7196,7175,10,2011,605.0
28,2011-11-01,Kraftfahrzeugsteuer,7831,7810,11,2011,635.0
29,2011-12-01,Kraftfahrzeugsteuer,8488,8422,12,2011,612.0
30,2012-01-01,Kraftfahrzeugsteuer,979,973,1,2012,973.0
31,2012-02-01,Kraftfahrzeugsteuer,1532,1569,2,2012,596.0
32,2012-03-01,Kraftfahrzeugsteuer,2349,2328,3,2012,759.0
33,2012-04-01,Kraftfahrzeugsteuer,3062,3099,4,2012,771.0
34,2012-05-01,Kraftfahrzeugsteuer,3857,3898,5,2012,799.0
35,2012-06-01,Kraftfahrzeugsteuer,4564,4585,6,2012,687.0
36,2012-07-01,Kraftfahrzeugsteuer,5227,5332,7,2012,747.0
37,2012-08-01,Kraftfahrzeugsteuer,5913,6002,8,2012,670.0
38,2012-09-01,Kraftfahrzeugsteuer,6570,6590,9,2012,588.0
39,2012-10-01,Kraftfahrzeugsteuer,7175,7265,10,2012,675.0
40,2012-11-01,Kraftfahrzeugsteuer,7810,7902,11,2012,637.0
41,2012-12-01,Kraftfahrzeugsteuer,8422,8443,12,2012,541.0
42,2013-01-01,Kraftfahrzeugsteuer,973,998,1,2013,998.0
43,2013-02-01,Kraftfahrzeugsteuer,1569,1577,2,2013,579.0
44,2013-03-01,Kraftfahrzeugsteuer,2328,2304,3,2013,727.0
45,2013-04-01,Kraftfahrzeugsteuer,3099,3155,4,2013,851.0
46,2013-05-01,Kraftfahrzeugsteuer,3898,3925,5,2013,770.0
47,2013-06-01,Kraftfahrzeugsteuer,4585,4588,6,2013,663.0
48,2013-07-01,Kraftfahrzeugsteuer,5332,5363,7,2013,775.0
49,2013-08-01,Kraftfahrzeugsteuer,6002,6025,8,2013,662.0
50,2013-09-01,Kraftfahrzeugsteuer,6590,6641,9,2013,616.0
51,2013-10-01,Kraftfahrzeugsteuer,7265,7329,10,2013,688.0
52,2013-11-01,Kraftfahrzeugsteuer,7902,7923,11,2013,594.0
53,2013-12-01,Kraftfahrzeugsteuer,8443,8490,12,2013,567.0
54,2014-01-01,Kraftfahrzeugsteuer,998,903,1,2014,903.0
55,2014-02-01,Kraftfahrzeugsteuer,1577,1325,2,2014,422.0
56,2014-03-01,Kraftfahrzeugsteuer,2304,1861,3,2014,536.0
57,2014-04-01,Kraftfahrzeugsteuer,3155,2647,4,2014,786.0
58,2014-05-01,Kraftfahrzeugsteuer,3925,3248,5,2014,601.0
59,2014-06-01,Kraftfahrzeugsteuer,4588,4378,6,2014,1130.0
60,2014-07-01,Kraftfahrzeugsteuer,5363,5224,7,2014,846.0
61,2014-08-01,Kraftfahrzeugsteuer,6025,5804,8,2014,580.0
62,2014-09-01,Kraftfahrzeugsteuer,6641,6642,9,2014,838.0
63,2014-10-01,Kraftfahrzeugsteuer,7329,7318,10,2014,676.0
64,2014-11-01,Kraftfahrzeugsteuer,7923,7981,11,2014,663.0
65,2014-12-01,Kraftfahrzeugsteuer,8490,8501,12,2014,520.0
66,2015-01-01,Kraftfahrzeugsteuer,903,1057,1,2015,1057.0
67,2015-02-01,Kraftfahrzeugsteuer,1325,1623,2,2015,566.0
68,2015-03-01,Kraftfahrzeugsteuer,1861,2454,3,2015,831.0
69,2015-04-01,Kraftfahrzeugsteuer,2647,3314,4,2015,860.0
70,2015-05-01,Kraftfahrzeugsteuer,3248,4027,5,2015,713.0
71,2015-06-01,Kraftfahrzeugsteuer,4378,4814,6,2015,787.0
72,2015-07-01,Kraftfahrzeugsteuer,5224,5571,7,2015,757.0
73,2015-08-01,Kraftfahrzeugsteuer,5804,6221,8,2015,650.0
74,2015-09-01,Kraftfahrzeugsteuer,6642,6922,9,2015,701.0
75,2015-10-01,Kraftfahrzeugsteuer,7318,7595,10,2015,673.0
76,2015-11-01,Kraftfahrzeugsteuer,7981,8201,11,2015,606.0
77,2015-12-01,Kraftfahrzeugsteuer,8501,8805,12,2015,604.0
78,2016-01-01,Kraftfahrzeugsteuer,1057,921,1,2016,921.0
79,2016-02-01,Kraftfahrzeugsteuer,1623,1622,2,2016,701.0
80,2016-03-01,Kraftfahrzeugsteuer,2454,2489,3,2016,867.0
81,2016-04-01,Kraftfahrzeugsteuer,3314,3306,4,2016,817.0
82,2016-05-01,Kraftfahrzeugsteuer,4027,4078,5,2016,772.0
