,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Körperschaftsteuer,0,-14,1,2008,-14.0
1,2008-02-01,Körperschaftsteuer,0,-156,2,2008,-142.0
2,2008-03-01,Körperschaftsteuer,0,2372,3,2008,2528.0
3,2008-04-01,Körperschaftsteuer,0,2296,4,2008,-76.0
4,2008-05-01,Körperschaftsteuer,0,2189,5,2008,-107.0
5,2008-06-01,Körperschaftsteuer,0,4783,6,2008,2594.0
6,2008-07-01,Körperschaftsteuer,0,4671,7,2008,-112.0
7,2008-08-01,Körperschaftsteuer,0,4464,8,2008,-207.0
8,2008-09-01,Körperschaftsteuer,0,6828,9,2008,2364.0
9,2008-10-01,Körperschaftsteuer,0,6112,10,2008,-716.0
10,2008-11-01,Körperschaftsteuer,0,5644,11,2008,-468.0
11,2008-12-01,Körperschaftsteuer,0,7943,12,2008,2299.0
0,2009-01-01,Körperschaftsteuer,-14,117,1,2009,117.0
1,2009-02-01,Körperschaftsteuer,-156,28,2,2009,-89.0
2,2009-03-01,Körperschaftsteuer,2372,2199,3,2009,2171.0
3,2009-04-01,Körperschaftsteuer,2296,1608,4,2009,-591.0
4,2009-05-01,Körperschaftsteuer,2189,1173,5,2009,-435.0
5,2009-06-01,Körperschaftsteuer,4783,2370,6,2009,1197.0
6,2009-07-01,Körperschaftsteuer,4671,1961,7,2009,-409.0
7,2009-08-01,Körperschaftsteuer,4464,1542,8,2009,-419.0
8,2009-09-01,Körperschaftsteuer,6828,2666,9,2009,1124.0
9,2009-10-01,Körperschaftsteuer,6112,2100,10,2009,-566.0
10,2009-11-01,Körperschaftsteuer,5644,1524,11,2009,-576.0
11,2009-12-01,Körperschaftsteuer,7943,3587,12,2009,2063.0
12,2010-01-01,Körperschaftsteuer,117,-200,1,2010,-200.0
13,2010-02-01,Körperschaftsteuer,28,-444,2,2010,-244.0
14,2010-03-01,Körperschaftsteuer,2199,976,3,2010,1420.0
15,2010-04-01,Körperschaftsteuer,1608,1129,4,2010,153.0
16,2010-05-01,Körperschaftsteuer,1173,996,5,2010,-133.0
17,2010-06-01,Körperschaftsteuer,2370,2890,6,2010,1894.0
18,2010-07-01,Körperschaftsteuer,1961,2462,7,2010,-428.0
19,2010-08-01,Körperschaftsteuer,1542,2489,8,2010,27.0
20,2010-09-01,Körperschaftsteuer,2666,3684,9,2010,1195.0
21,2010-10-01,Körperschaftsteuer,2100,3157,10,2010,-527.0
22,2010-11-01,Körperschaftsteuer,1524,3008,11,2010,-149.0
23,2010-12-01,Körperschaftsteuer,3587,6021,12,2010,3013.0
24,2011-01-01,Körperschaftsteuer,-200,-930,1,2011,-930.0
25,2011-02-01,Körperschaftsteuer,-444,-878,2,2011,52.0
26,2011-03-01,Körperschaftsteuer,976,1243,3,2011,2121.0
27,2011-04-01,Körperschaftsteuer,1129,762,4,2011,-481.0
28,2011-05-01,Körperschaftsteuer,996,768,5,2011,6.0
29,2011-06-01,Körperschaftsteuer,2890,3350,6,2011,2582.0
30,2011-07-01,Körperschaftsteuer,2462,3244,7,2011,-106.0
31,2011-08-01,Körperschaftsteuer,2489,3191,8,2011,-53.0
32,2011-09-01,Körperschaftsteuer,3684,4864,9,2011,1673.0
33,2011-10-01,Körperschaftsteuer,3157,4559,10,2011,-305.0
34,2011-11-01,Körperschaftsteuer,3008,4665,11,2011,106.0
35,2011-12-01,Körperschaftsteuer,6021,7817,12,2011,3152.0
36,2012-01-01,Körperschaftsteuer,-930,163,1,2012,163.0
37,2012-02-01,Körperschaftsteuer,-878,150,2,2012,-13.0
38,2012-03-01,Körperschaftsteuer,1243,2735,3,2012,2585.0
39,2012-04-01,Körperschaftsteuer,762,2577,4,2012,-158.0
40,2012-05-01,Körperschaftsteuer,768,2615,5,2012,38.0
41,2012-06-01,Körperschaftsteuer,3350,5233,6,2012,2618.0
42,2012-07-01,Körperschaftsteuer,3244,5328,7,2012,95.0
43,2012-08-01,Körperschaftsteuer,3191,5486,8,2012,158.0
44,2012-09-01,Körperschaftsteuer,4864,6499,9,2012,1013.0
