,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Lohnsteuer,0,3728,1,2008,3728.0
1,2008-02-01,Lohnsteuer,0,8197,2,2008,4469.0
2,2008-03-01,Lohnsteuer,0,12562,3,2008,4365.0
3,2008-04-01,Lohnsteuer,0,17352,4,2008,4790.0
4,2008-05-01,Lohnsteuer,0,22211,5,2008,4859.0
5,2008-06-01,Lohnsteuer,0,27287,6,2008,5076.0
6,2008-07-01,Lohnsteuer,0,32641,7,2008,5354.0
7,2008-08-01,Lohnsteuer,0,37337,8,2008,4696.0
8,2008-09-01,Lohnsteuer,0,41802,9,2008,4465.0
9,2008-10-01,Lohnsteuer,0,46310,10,2008,4508.0
10,2008-11-01,Lohnsteuer,0,50926,11,2008,4616.0
11,2008-12-01,Lohnsteuer,0,60310,12,2008,9384.0
0,2009-01-01,Lohnsteuer,3728,3984,1,2009,3984.0
1,2009-02-01,Lohnsteuer,8197,8611,2,2009,4627.0
2,2009-03-01,Lohnsteuer,12562,12986,3,2009,4375.0
3,2009-04-01,Lohnsteuer,17352,16126,4,2009,3140.0
4,2009-05-01,Lohnsteuer,22211,21109,5,2009,4983.0
5,2009-06-01,Lohnsteuer,27287,25933,6,2009,4824.0
6,2009-07-01,Lohnsteuer,32641,31073,7,2009,5140.0
7,2009-08-01,Lohnsteuer,37337,35367,8,2009,4294.0
8,2009-09-01,Lohnsteuer,41802,39641,9,2009,4274.0
9,2009-10-01,Lohnsteuer,46310,44015,10,2009,4374.0
10,2009-11-01,Lohnsteuer,50926,48278,11,2009,4263.0
11,2009-12-01,Lohnsteuer,60310,57248,12,2009,8970.0
12,2010-01-01,Lohnsteuer,3984,3579,1,2010,3579.0
13,2010-02-01,Lohnsteuer,8611,7588,2,2010,4009.0
14,2010-03-01,Lohnsteuer,12986,11465,3,2010,3877.0
15,2010-04-01,Lohnsteuer,16126,15878,4,2010,4413.0
16,2010-05-01,Lohnsteuer,21109,19842,5,2010,3964.0
17,2010-06-01,Lohnsteuer,25933,24490,6,2010,4648.0
18,2010-07-01,Lohnsteuer,31074,29297,7,2010,4807.0
19,2010-08-01,Lohnsteuer,35367,33410,8,2010,4113.0
20,2010-09-01,Lohnsteuer,39641,37457,9,2010,4047.0
21,2010-10-01,Lohnsteuer,44015,41569,10,2010,4112.0
22,2010-11-01,Lohnsteuer,48278,45702,11,2010,4133.0
23,2010-12-01,Lohnsteuer,57248,54759,12,2010,9057.0
24,2011-01-01,Lohnsteuer,3579,3473,1,2011,3473.0
25,2011-02-01,Lohnsteuer,7588,7872,2,2011,4399.0
26,2011-03-01,Lohnsteuer,11465,12146,3,2011,4274.0
27,2011-04-01,Lohnsteuer,15878,16989,4,2011,4843.0
28,2011-05-01,Lohnsteuer,19842,21483,5,2011,4494.0
29,2011-06-01,Lohnsteuer,24490,26657,6,2011,5174.0
30,2011-07-01,Lohnsteuer,29297,31945,7,2011,5288.0
31,2011-08-01,Lohnsteuer,33410,36458,8,2011,4513.0
32,2011-09-01,Lohnsteuer,37457,40887,9,2011,4429.0
33,2011-10-01,Lohnsteuer,41569,45400,10,2011,4513.0
34,2011-11-01,Lohnsteuer,45702,50046,11,2011,4646.0
35,2011-12-01,Lohnsteuer,54759,59475,12,2011,9429.0
36,2012-01-01,Lohnsteuer,3473,3587,1,2012,3587.0
37,2012-02-01,Lohnsteuer,7872,8207,2,2012,4620.0
38,2012-03-01,Lohnsteuer,12146,12743,3,2012,4536.0
39,2012-04-01,Lohnsteuer,16989,17904,4,2012,5161.0
40,2012-05-01,Lohnsteuer,21483,22523,5,2012,4619.0
41,2012-06-01,Lohnsteuer,26657,28078,6,2012,5555.0
42,2012-07-01,Lohnsteuer,31945,33808,7,2012,5730.0
43,2012-08-01,Lohnsteuer,36458,38877,8,2012,5069.0
44,2012-09-01,Lohnsteuer,40887,43624,9,2012,4747.0
45,2012-10-01,Lohnsteuer,45400,48421,10,2012,4797.0
46,2012-11-01,Lohnsteuer,50046,53202,11,2012,4781.0
47,2012-12-01,Lohnsteuer,59475,63136,12,2012,9934.0
48,2013-01-01,Lohnsteuer,3587,4031,1,2013,4031.0
49,2013-02-01,Lohnsteuer,8207,9047,2,2013,5016.0
50,2013-03-01,Lohnsteuer,12743,13852,3,2013,4805.0
51,2013-04-01,Lohnsteuer,17904,19285,4,2013,5433.0
52,2013-05-01,Lohnsteuer,22523,24300,5,2013,5015.0
53,2013-06-01,Lohnsteuer,28078,30333,6,2013,6033.0
54,2013-07-01,Lohnsteuer,33808,36202,7,2013,5869.0
55,2013-08-01,Lohnsteuer,38877,41481,8,2013,5279.0
56,2013-09-01,Lohnsteuer,43624,46518,9,2013,5037.0
57,2013-10-01,Lohnsteuer,48421,51642,10,2013,5124.0
58,2013-11-01,Lohnsteuer,53202,56754,11,2013,5112.0
59,2013-12-01,Lohnsteuer,63136,67174,12,2013,10420.0
60,2014-01-01,Lohnsteuer,4031,4406,1,2014,4406.0
61,2014-02-01,Lohnsteuer,9047,9845,2,2014,5439.0
62,2014-03-01,Lohnsteuer,13852,15008,3,2014,5163.0
63,2014-04-01,Lohnsteuer,19285,20756,4,2014,5748.0
64,2014-05-01,Lohnsteuer,24300,25992,5,2014,5236.0
65,2014-06-01,Lohnsteuer,30333,32314,6,2014,6322.0
66,2014-07-01,Lohnsteuer,36202,38600,7,2014,6286.0
67,2014-08-01,Lohnsteuer,41481,44271,8,2014,5671.0
68,2014-09-01,Lohnsteuer,46518,49545,9,2014,5274.0
69,2014-10-01,Lohnsteuer,51642,54989,10,2014,5444.0
70,2014-11-01,Lohnsteuer,56754,60503,11,2014,5514.0
71,2014-12-01,Lohnsteuer,67174,71420,12,2014,10917.0
72,2015-01-01,Lohnsteuer,4406,4745,1,2015,4745.0
73,2015-02-01,Lohnsteuer,9845,10503,2,2015,5758.0
74,2015-03-01,Lohnsteuer,15008,16016,3,2015,5513.0
75,2015-04-01,Lohnsteuer,20756,22197,4,2015,6181.0
76,2015-05-01,Lohnsteuer,25992,28020,5,2015,5823.0
77,2015-06-01,Lohnsteuer,32314,34827,6,2015,6807.0
78,2015-07-01,Lohnsteuer,38600,41515,7,2015,6688.0
79,2015-08-01,Lohnsteuer,44271,47644,8,2015,6129.0
80,2015-09-01,Lohnsteuer,49545,53206,9,2015,5562.0
81,2015-10-01,Lohnsteuer,54989,58481,10,2015,5275.0
82,2015-11-01,Lohnsteuer,60503,64589,11,2015,6108.0
83,2015-12-01,Lohnsteuer,71420,76028,12,2015,11439.0
84,2016-01-01,Lohnsteuer,4745,4752,1,2016,4752.0
85,2016-02-01,Lohnsteuer,10503,10699,2,2016,5947.0
86,2016-03-01,Lohnsteuer,16016,16393,3,2016,5694.0
87,2016-04-01,Lohnsteuer,22197,22934,4,2016,6541.0
88,2016-05-01,Lohnsteuer,28020,28755,5,2016,5821.0
89,2016-06-01,Lohnsteuer,34827,35601,6,2016,6846.0
90,2016-07-01,Lohnsteuer,41515,42485,7,2016,6884.0
91,2016-08-01,Lohnsteuer,47644,48603,8,2016,6118.0
92,2016-09-01,Lohnsteuer,53206,54628,9,2016,6025.0
