,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2011-05-01,Luftverkehrsteuer,0,267,5,2011,
1,2011-06-01,Luftverkehrsteuer,0,348,6,2011,81.0
2,2011-07-01,Luftverkehrsteuer,0,434,7,2011,86.0
3,2011-08-01,Luftverkehrsteuer,0,530,8,2011,96.0
4,2011-09-01,Luftverkehrsteuer,0,622,9,2011,92.0
5,2011-10-01,Luftverkehrsteuer,0,712,10,2011,90.0
6,2011-11-01,Luftverkehrsteuer,0,811,11,2011,99.0
7,2011-12-01,Luftverkehrsteuer,0,905,12,2011,94.0
8,2012-01-01,Luftverkehrsteuer,0,54,1,2012,54.0
9,2012-02-01,Luftverkehrsteuer,59,119,2,2012,65.0
10,2012-03-01,Luftverkehrsteuer,119,187,3,2012,68.0
11,2012-04-01,Luftverkehrsteuer,191,265,4,2012,78.0
12,2012-05-01,Luftverkehrsteuer,267,338,5,2012,73.0
13,2012-06-01,Luftverkehrsteuer,348,421,6,2012,83.0
14,2012-07-01,Luftverkehrsteuer,434,506,7,2012,85.0
15,2012-08-01,Luftverkehrsteuer,530,601,8,2012,95.0
16,2012-09-01,Luftverkehrsteuer,622,671,9,2012,70.0
17,2012-10-01,Luftverkehrsteuer,712,780,10,2012,109.0
18,2012-11-01,Luftverkehrsteuer,811,868,11,2012,88.0
19,2012-12-01,Luftverkehrsteuer,905,948,12,2012,80.0
20,2013-01-01,Luftverkehrsteuer,54,60,1,2013,60.0
21,2013-02-01,Luftverkehrsteuer,119,121,2,2013,61.0
22,2013-03-01,Luftverkehrsteuer,187,183,3,2013,62.0
23,2013-04-01,Luftverkehrsteuer,265,262,4,2013,79.0
24,2013-05-01,Luftverkehrsteuer,338,324,5,2013,62.0
25,2013-06-01,Luftverkehrsteuer,421,420,6,2013,96.0
26,2013-07-01,Luftverkehrsteuer,506,505,7,2013,85.0
27,2013-08-01,Luftverkehrsteuer,601,596,8,2013,91.0
28,2013-09-01,Luftverkehrsteuer,671,680,9,2013,84.0
29,2013-10-01,Luftverkehrsteuer,780,783,10,2013,103.0
30,2013-11-01,Luftverkehrsteuer,868,874,11,2013,91.0
31,2013-12-01,Luftverkehrsteuer,948,978,12,2013,104.0
32,2014-01-01,Luftverkehrsteuer,60,36,1,2014,36.0
33,2014-02-01,Luftverkehrsteuer,121,99,2,2014,63.0
34,2014-03-01,Luftverkehrsteuer,183,164,3,2014,65.0
35,2014-04-01,Luftverkehrsteuer,262,233,4,2014,69.0
36,2014-05-01,Luftverkehrsteuer,324,315,5,2014,82.0
37,2014-06-01,Luftverkehrsteuer,420,399,6,2014,84.0
38,2014-07-01,Luftverkehrsteuer,505,488,7,2014,89.0
39,2014-08-01,Luftverkehrsteuer,596,585,8,2014,97.0
40,2014-09-01,Luftverkehrsteuer,680,683,9,2014,98.0
41,2014-10-01,Luftverkehrsteuer,783,780,10,2014,97.0
42,2014-11-01,Luftverkehrsteuer,874,872,11,2014,92.0
43,2014-12-01,Luftverkehrsteuer,978,990,12,2014,118.0
44,2015-01-01,Luftverkehrsteuer,36,34,1,2015,34.0
45,2015-02-01,Luftverkehrsteuer,99,94,2,2015,60.0
46,2015-03-01,Luftverkehrsteuer,164,159,3,2015,65.0
47,2015-04-01,Luftverkehrsteuer,233,245,4,2015,86.0
48,2015-05-01,Luftverkehrsteuer,315,322,5,2015,77.0
49,2015-06-01,Luftverkehrsteuer,399,416,6,2015,94.0
50,2015-07-01,Luftverkehrsteuer,488,504,7,2015,88.0
51,2015-08-01,Luftverkehrsteuer,585,607,8,2015,103.0
52,2015-09-01,Luftverkehrsteuer,683,711,9,2015,104.0
53,2015-10-01,Luftverkehrsteuer,780,805,10,2015,94.0
54,2015-11-01,Luftverkehrsteuer,872,906,11,2015,101.0
55,2015-12-01,Luftverkehrsteuer,990,1023,12,2015,117.0
56,2016-01-01,Luftverkehrsteuer,34,38,1,2016,38.0
57,2016-02-01,Luftverkehrsteuer,94,107,2,2016,69.0
58,2016-03-01,Luftverkehrsteuer,159,178,3,2016,71.0
59,2016-04-01,Luftverkehrsteuer,245,265,4,2016,87.0
60,2016-05-01,Luftverkehrsteuer,322,345,5,2016,80.0
61,2016-06-01,Luftverkehrsteuer,416,436,6,2016,91.0
62,2016-07-01,Luftverkehrsteuer,504,521,7,2016,85.0
63,2016-08-01,Luftverkehrsteuer,607,634,8,2016,113.0
64,2016-09-01,Luftverkehrsteuer,711,736,9,2016,102.0
65,2016-10-01,Luftverkehrsteuer,805,842,10,2016,106.0
66,2016-11-01,Luftverkehrsteuer,906,937,11,2016,95.0
67,2016-12-01,Luftverkehrsteuer,1023,1074,12,2016,137.0
68,2017-01-01,Luftverkehrsteuer,38,40,1,2017,40.0
69,2017-02-01,Luftverkehrsteuer,107,112,2,2017,72.0
70,2017-03-01,Luftverkehrsteuer,178,190,3,2017,78.0
71,2017-04-01,Luftverkehrsteuer,265,278,4,2017,88.0
72,2017-05-01,Luftverkehrsteuer,345,374,5,2017,96.0
73,2017-06-01,Luftverkehrsteuer,436,468,6,2017,94.0
74,2017-07-01,Luftverkehrsteuer,521,571,7,2017,103.0
75,2017-08-01,Luftverkehrsteuer,634,675,8,2017,104.0
76,2017-09-01,Luftverkehrsteuer,736,782,9,2017,107.0
77,2017-10-01,Luftverkehrsteuer,842,884,10,2017,102.0
78,2017-11-01,Luftverkehrsteuer,937,1000,11,2017,116.0
79,2017-12-01,Luftverkehrsteuer,1074,1121,12,2017,121.0
80,2018-01-01,Luftverkehrsteuer,40,35,1,2018,35.0
81,2018-02-01,Luftverkehrsteuer,112,110,2,2018,75.0
82,2018-03-01,Luftverkehrsteuer,190,193,3,2018,83.0
83,2018-04-01,Luftverkehrsteuer,278,291,4,2018,98.0
84,2018-05-01,Luftverkehrsteuer,374,382,5,2018,91.0
85,2018-06-01,Luftverkehrsteuer,468,482,6,2018,100.0
86,2018-07-01,Luftverkehrsteuer,571,584,7,2018,102.0
87,2018-08-01,Luftverkehrsteuer,675,707,8,2018,123.0
88,2018-09-01,Luftverkehrsteuer,782,818,9,2018,111.0
89,2018-10-01,Luftverkehrsteuer,884,940,10,2018,122.0
90,2018-11-01,Luftverkehrsteuer,1000,1057,11,2018,117.0
91,2018-12-01,Luftverkehrsteuer,1121,1187,12,2018,130.0
