,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Mehrwertsteuer-Eigenmittel der EU,0,-631,1,2008,-631.0
1,2008-02-01,Mehrwertsteuer-Eigenmittel der EU,0,-1262,2,2008,-631.0
2,2008-03-01,Mehrwertsteuer-Eigenmittel der EU,0,-1578,3,2008,-316.0
3,2008-04-01,Mehrwertsteuer-Eigenmittel der EU,0,-1893,4,2008,-315.0
4,2008-05-01,Mehrwertsteuer-Eigenmittel der EU,0,-2083,5,2008,-190.0
5,2008-06-01,Mehrwertsteuer-Eigenmittel der EU,0,-2240,6,2008,-157.0
6,2008-07-01,Mehrwertsteuer-Eigenmittel der EU,0,-2430,7,2008,-190.0
7,2008-08-01,Mehrwertsteuer-Eigenmittel der EU,0,-2619,8,2008,-189.0
8,2008-09-01,Mehrwertsteuer-Eigenmittel der EU,0,-2840,9,2008,-221.0
9,2008-10-01,Mehrwertsteuer-Eigenmittel der EU,0,-3118,10,2008,-278.0
10,2008-11-01,Mehrwertsteuer-Eigenmittel der EU,0,-3429,11,2008,-311.0
11,2008-12-01,Mehrwertsteuer-Eigenmittel der EU,0,-3738,12,2008,-309.0
0,2009-01-01,Mehrwertsteuer-Eigenmittel der EU,-631,-332,1,2009,-332.0
1,2009-02-01,Mehrwertsteuer-Eigenmittel der EU,-1262,-1327,2,2009,-995.0
2,2009-03-01,Mehrwertsteuer-Eigenmittel der EU,-1578,-1659,3,2009,-332.0
3,2009-04-01,Mehrwertsteuer-Eigenmittel der EU,-1893,-1991,4,2009,-332.0
4,2009-05-01,Mehrwertsteuer-Eigenmittel der EU,-2083,-2190,5,2009,-199.0
5,2009-06-01,Mehrwertsteuer-Eigenmittel der EU,-2240,-1182,6,2009,1008.0
6,2009-07-01,Mehrwertsteuer-Eigenmittel der EU,-2430,-1249,7,2009,-67.0
7,2009-08-01,Mehrwertsteuer-Eigenmittel der EU,-2619,-1401,8,2009,-152.0
8,2009-09-01,Mehrwertsteuer-Eigenmittel der EU,-2840,-1519,9,2009,-118.0
9,2009-10-01,Mehrwertsteuer-Eigenmittel der EU,-3118,-1578,10,2009,-59.0
10,2009-11-01,Mehrwertsteuer-Eigenmittel der EU,-3429,-1735,11,2009,-157.0
11,2009-12-01,Mehrwertsteuer-Eigenmittel der EU,-3738,-2017,12,2009,-282.0
12,2010-01-01,Mehrwertsteuer-Eigenmittel der EU,-332,-199,1,2010,-199.0
