,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Solidaritätszuschlag,0,1020,1,2008,1020.0
1,2008-02-01,Solidaritätszuschlag,0,1758,2,2008,738.0
2,2008-03-01,Solidaritätszuschlag,0,3192,3,2008,1434.0
3,2008-04-01,Solidaritätszuschlag,0,4122,4,2008,930.0
4,2008-05-01,Solidaritätszuschlag,0,5098,5,2008,976.0
5,2008-06-01,Solidaritätszuschlag,0,6694,6,2008,1596.0
6,2008-07-01,Solidaritätszuschlag,0,7554,7,2008,860.0
7,2008-08-01,Solidaritätszuschlag,0,8311,8,2008,757.0
8,2008-09-01,Solidaritätszuschlag,0,9754,9,2008,1443.0
9,2008-10-01,Solidaritätszuschlag,0,10433,10,2008,679.0
10,2008-11-01,Solidaritätszuschlag,0,11112,11,2008,679.0
11,2008-12-01,Solidaritätszuschlag,0,13146,12,2008,2034.0
0,2009-01-01,Solidaritätszuschlag,1020,1124,1,2009,1124.0
1,2009-02-01,Solidaritätszuschlag,1758,1809,2,2009,685.0
2,2009-03-01,Solidaritätszuschlag,3192,3191,3,2009,1382.0
3,2009-04-01,Solidaritätszuschlag,4122,4011,4,2009,820.0
4,2009-05-01,Solidaritätszuschlag,5098,4914,5,2009,903.0
5,2009-06-01,Solidaritätszuschlag,6694,6248,6,2009,1334.0
6,2009-07-01,Solidaritätszuschlag,7554,7035,7,2009,787.0
7,2009-08-01,Solidaritätszuschlag,8311,7643,8,2009,608.0
8,2009-09-01,Solidaritätszuschlag,9754,8886,9,2009,1243.0
9,2009-10-01,Solidaritätszuschlag,10433,9500,10,2009,614.0
10,2009-11-01,Solidaritätszuschlag,11112,10103,11,2009,603.0
11,2009-12-01,Solidaritätszuschlag,13146,11927,12,2009,1824.0
12,2010-01-01,Solidaritätszuschlag,1124,913,1,2010,913.0
13,2010-02-01,Solidaritätszuschlag,1809,1593,2,2010,680.0
14,2010-03-01,Solidaritätszuschlag,3191,2856,3,2010,1263.0
15,2010-04-01,Solidaritätszuschlag,4011,3692,4,2010,836.0
16,2010-05-01,Solidaritätszuschlag,4914,4562,5,2010,870.0
17,2010-06-01,Solidaritätszuschlag,6248,5955,6,2010,1393.0
18,2010-07-01,Solidaritätszuschlag,7035,6663,7,2010,708.0
19,2010-08-01,Solidaritätszuschlag,7643,7298,8,2010,635.0
20,2010-09-01,Solidaritätszuschlag,8886,8571,9,2010,1273.0
21,2010-10-01,Solidaritätszuschlag,9500,9169,10,2010,598.0
22,2010-11-01,Solidaritätszuschlag,10103,9760,11,2010,591.0
23,2010-12-01,Solidaritätszuschlag,11927,11713,12,2010,1953.0
24,2011-01-01,Solidaritätszuschlag,913,938,1,2011,938.0
25,2011-02-01,Solidaritätszuschlag,1593,1661,2,2011,723.0
26,2011-03-01,Solidaritätszuschlag,2856,3072,3,2011,1411.0
27,2011-04-01,Solidaritätszuschlag,3692,3864,4,2011,792.0
28,2011-05-01,Solidaritätszuschlag,4562,4930,5,2011,1066.0
29,2011-06-01,Solidaritätszuschlag,5955,6522,6,2011,1592.0
30,2011-07-01,Solidaritätszuschlag,6663,7329,7,2011,807.0
31,2011-08-01,Solidaritätszuschlag,7298,8014,8,2011,685.0
32,2011-09-01,Solidaritätszuschlag,8571,9401,9,2011,1387.0
33,2011-10-01,Solidaritätszuschlag,9169,10070,10,2011,669.0
34,2011-11-01,Solidaritätszuschlag,9760,10734,11,2011,664.0
35,2011-12-01,Solidaritätszuschlag,11713,12781,12,2011,2047.0
36,2012-01-01,Solidaritätszuschlag,938,1017,1,2012,1017.0
37,2012-02-01,Solidaritätszuschlag,1661,1774,2,2012,757.0
