,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Steuern vom Umsatz,0,7601,1,2008,7601.0
1,2008-02-01,Steuern vom Umsatz,0,16911,2,2008,9310.0
2,2008-03-01,Steuern vom Umsatz,0,23849,3,2008,6938.0
3,2008-04-01,Steuern vom Umsatz,0,30861,4,2008,7012.0
4,2008-05-01,Steuern vom Umsatz,0,38971,5,2008,8110.0
5,2008-06-01,Steuern vom Umsatz,0,46783,6,2008,7812.0
6,2008-07-01,Steuern vom Umsatz,0,54591,7,2008,7808.0
7,2008-08-01,Steuern vom Umsatz,0,63250,8,2008,8659.0
8,2008-09-01,Steuern vom Umsatz,0,71053,9,2008,7803.0
9,2008-10-01,Steuern vom Umsatz,0,78734,10,2008,7681.0
10,2008-11-01,Steuern vom Umsatz,0,87671,11,2008,8937.0
11,2008-12-01,Steuern vom Umsatz,0,95806,12,2008,8135.0
0,2009-01-01,Steuern vom Umsatz,7601,7560,1,2009,7560.0
1,2009-02-01,Steuern vom Umsatz,16911,16602,2,2009,9042.0
2,2009-03-01,Steuern vom Umsatz,23849,23201,3,2009,6599.0
3,2009-04-01,Steuern vom Umsatz,30861,30534,4,2009,7333.0
4,2009-05-01,Steuern vom Umsatz,38971,38710,5,2009,8176.0
5,2009-06-01,Steuern vom Umsatz,46783,46588,6,2009,7878.0
6,2009-07-01,Steuern vom Umsatz,54591,54265,7,2009,7677.0
7,2009-08-01,Steuern vom Umsatz,63250,62403,8,2009,8138.0
8,2009-09-01,Steuern vom Umsatz,71053,70519,9,2009,8116.0
9,2009-10-01,Steuern vom Umsatz,78734,78280,10,2009,7761.0
10,2009-11-01,Steuern vom Umsatz,87671,86887,11,2009,8607.0
11,2009-12-01,Steuern vom Umsatz,95806,95400,12,2009,8513.0
12,2010-01-01,Steuern vom Umsatz,7560,8003,1,2010,8003.0
13,2010-02-01,Steuern vom Umsatz,16602,16838,2,2010,8835.0
14,2010-03-01,Steuern vom Umsatz,23201,22756,3,2010,5918.0
15,2010-04-01,Steuern vom Umsatz,30534,30106,4,2010,7350.0
16,2010-05-01,Steuern vom Umsatz,38710,38759,5,2010,8653.0
17,2010-06-01,Steuern vom Umsatz,46588,46385,6,2010,7626.0
18,2010-07-01,Steuern vom Umsatz,54265,54134,7,2010,7749.0
19,2010-08-01,Steuern vom Umsatz,62403,62452,8,2010,8318.0
20,2010-09-01,Steuern vom Umsatz,70519,70333,9,2010,7881.0
21,2010-10-01,Steuern vom Umsatz,78280,78463,10,2010,8130.0
22,2010-11-01,Steuern vom Umsatz,86887,87292,11,2010,8829.0
23,2010-12-01,Steuern vom Umsatz,95400,95860,12,2010,8568.0
24,2011-01-01,Steuern vom Umsatz,8003,8355,1,2011,8355.0
25,2011-02-01,Steuern vom Umsatz,16838,18566,2,2011,10211.0
26,2011-03-01,Steuern vom Umsatz,22756,25528,3,2011,6962.0
27,2011-04-01,Steuern vom Umsatz,30106,33203,4,2011,7675.0
28,2011-05-01,Steuern vom Umsatz,38759,41987,5,2011,8784.0
29,2011-06-01,Steuern vom Umsatz,46385,50387,6,2011,8400.0
30,2011-07-01,Steuern vom Umsatz,54134,58232,7,2011,7845.0
31,2011-08-01,Steuern vom Umsatz,62452,66869,8,2011,8637.0
32,2011-09-01,Steuern vom Umsatz,70333,75289,9,2011,8420.0
33,2011-10-01,Steuern vom Umsatz,78463,83927,10,2011,8638.0
34,2011-11-01,Steuern vom Umsatz,87292,93211,11,2011,9284.0
35,2011-12-01,Steuern vom Umsatz,95860,101899,12,2011,8688.0
36,2012-01-01,Steuern vom Umsatz,8355,8411,1,2012,8411.0
37,2012-02-01,Steuern vom Umsatz,18566,19021,2,2012,10610.0
38,2012-03-01,Steuern vom Umsatz,25528,26126,3,2012,7105.0
39,2012-04-01,Steuern vom Umsatz,33203,34197,4,2012,8071.0
40,2012-05-01,Steuern vom Umsatz,41987,43194,5,2012,8997.0
41,2012-06-01,Steuern vom Umsatz,50387,51015,6,2012,7821.0
42,2012-07-01,Steuern vom Umsatz,58232,58638,7,2012,7623.0
