,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Stromsteuer,0,543,1,2008,543.0
1,2008-02-01,Stromsteuer,0,1028,2,2008,485.0
2,2008-03-01,Stromsteuer,0,1547,3,2008,519.0
3,2008-04-01,Stromsteuer,0,2014,4,2008,467.0
4,2008-05-01,Stromsteuer,0,2509,5,2008,495.0
5,2008-06-01,Stromsteuer,0,3141,6,2008,632.0
6,2008-07-01,Stromsteuer,0,3602,7,2008,461.0
7,2008-08-01,Stromsteuer,0,4118,8,2008,516.0
8,2008-09-01,Stromsteuer,0,4605,9,2008,487.0
9,2008-10-01,Stromsteuer,0,5130,10,2008,525.0
10,2008-11-01,Stromsteuer,0,5709,11,2008,579.0
11,2008-12-01,Stromsteuer,0,6261,12,2008,552.0
0,2009-01-01,Stromsteuer,543,544,1,2009,544.0
1,2009-02-01,Stromsteuer,1028,1022,2,2009,478.0
2,2009-03-01,Stromsteuer,1547,1560,3,2009,538.0
3,2009-04-01,Stromsteuer,2014,2068,4,2009,508.0
4,2009-05-01,Stromsteuer,2509,2519,5,2009,451.0
5,2009-06-01,Stromsteuer,3141,3129,6,2009,610.0
6,2009-07-01,Stromsteuer,3602,3648,7,2009,519.0
7,2009-08-01,Stromsteuer,4118,4175,8,2009,527.0
8,2009-09-01,Stromsteuer,4605,4711,9,2009,536.0
9,2009-10-01,Stromsteuer,5130,5225,10,2009,514.0
10,2009-11-01,Stromsteuer,5709,5758,11,2009,533.0
11,2009-12-01,Stromsteuer,6261,6278,12,2009,520.0
12,2010-01-01,Stromsteuer,544,517,1,2010,517.0
13,2010-02-01,Stromsteuer,1022,858,2,2010,341.0
14,2010-03-01,Stromsteuer,1560,1498,3,2010,640.0
15,2010-04-01,Stromsteuer,2068,2007,4,2010,509.0
16,2010-05-01,Stromsteuer,2519,2481,5,2010,474.0
17,2010-06-01,Stromsteuer,3129,3068,6,2010,587.0
18,2010-07-01,Stromsteuer,3648,3567,7,2010,499.0
19,2010-08-01,Stromsteuer,4175,4074,8,2010,507.0
20,2010-09-01,Stromsteuer,4711,4631,9,2010,557.0
21,2010-10-01,Stromsteuer,5225,5159,10,2010,528.0
22,2010-11-01,Stromsteuer,5758,5631,11,2010,472.0
23,2010-12-01,Stromsteuer,6278,6171,12,2010,540.0
24,2011-01-01,Stromsteuer,517,513,1,2011,513.0
25,2011-02-01,Stromsteuer,858,953,2,2011,440.0
26,2011-03-01,Stromsteuer,1498,1785,3,2011,832.0
27,2011-04-01,Stromsteuer,2007,2437,4,2011,652.0
