,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Tabaksteuer,0,223,1,2008,223.0
1,2008-02-01,Tabaksteuer,0,1420,2,2008,1197.0
2,2008-03-01,Tabaksteuer,0,2547,3,2008,1127.0
3,2008-04-01,Tabaksteuer,0,3657,4,2008,1110.0
4,2008-05-01,Tabaksteuer,0,4790,5,2008,1133.0
5,2008-06-01,Tabaksteuer,0,5814,6,2008,1024.0
6,2008-07-01,Tabaksteuer,0,7023,7,2008,1209.0
7,2008-08-01,Tabaksteuer,0,8315,8,2008,1292.0
8,2008-09-01,Tabaksteuer,0,9463,9,2008,1148.0
9,2008-10-01,Tabaksteuer,0,10695,10,2008,1232.0
10,2008-11-01,Tabaksteuer,0,11892,11,2008,1197.0
11,2008-12-01,Tabaksteuer,0,13574,12,2008,1682.0
0,2009-01-01,Tabaksteuer,223,237,1,2009,237.0
1,2009-02-01,Tabaksteuer,1420,1319,2,2009,1082.0
2,2009-03-01,Tabaksteuer,2547,2365,3,2009,1046.0
3,2009-04-01,Tabaksteuer,3657,3562,4,2009,1197.0
4,2009-05-01,Tabaksteuer,4790,4759,5,2009,1197.0
5,2009-06-01,Tabaksteuer,5814,5925,6,2009,1166.0
6,2009-07-01,Tabaksteuer,7023,7208,7,2009,1283.0
7,2009-08-01,Tabaksteuer,8315,8351,8,2009,1143.0
8,2009-09-01,Tabaksteuer,9463,9424,9,2009,1073.0
9,2009-10-01,Tabaksteuer,10695,10651,10,2009,1227.0
10,2009-11-01,Tabaksteuer,11892,11725,11,2009,1074.0
11,2009-12-01,Tabaksteuer,13574,13366,12,2009,1641.0
12,2010-01-01,Tabaksteuer,237,374,1,2010,374.0
13,2010-02-01,Tabaksteuer,1319,1196,2,2010,822.0
14,2010-03-01,Tabaksteuer,2365,2462,3,2010,1266.0
15,2010-04-01,Tabaksteuer,3562,3596,4,2010,1134.0
16,2010-05-01,Tabaksteuer,4759,4675,5,2010,1079.0
17,2010-06-01,Tabaksteuer,5925,5789,6,2010,1114.0
18,2010-07-01,Tabaksteuer,7208,7014,7,2010,1225.0
19,2010-08-01,Tabaksteuer,8351,8222,8,2010,1208.0
