,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Versicherungsteuer,0,545,1,2008,545.0
1,2008-02-01,Versicherungsteuer,0,3861,2,2008,3316.0
2,2008-03-01,Versicherungsteuer,0,4540,3,2008,679.0
3,2008-04-01,Versicherungsteuer,0,5147,4,2008,607.0
4,2008-05-01,Versicherungsteuer,0,5895,5,2008,748.0
5,2008-06-01,Versicherungsteuer,0,6490,6,2008,595.0
6,2008-07-01,Versicherungsteuer,0,7043,7,2008,553.0
7,2008-08-01,Versicherungsteuer,0,8072,8,2008,1029.0
8,2008-09-01,Versicherungsteuer,0,8568,9,2008,496.0
9,2008-10-01,Versicherungsteuer,0,9049,10,2008,481.0
10,2008-11-01,Versicherungsteuer,0,9724,11,2008,675.0
11,2008-12-01,Versicherungsteuer,0,10478,12,2008,754.0
0,2009-01-01,Versicherungsteuer,545,543,1,2009,543.0
1,2009-02-01,Versicherungsteuer,3861,3858,2,2009,3315.0
2,2009-03-01,Versicherungsteuer,4540,4502,3,2009,644.0
3,2009-04-01,Versicherungsteuer,5147,5129,4,2009,627.0
4,2009-05-01,Versicherungsteuer,5895,5907,5,2009,778.0
5,2009-06-01,Versicherungsteuer,6490,6501,6,2009,594.0
6,2009-07-01,Versicherungsteuer,7043,7070,7,2009,569.0
7,2009-08-01,Versicherungsteuer,8072,8087,8,2009,1017.0
8,2009-09-01,Versicherungsteuer,8568,8597,9,2009,510.0
9,2009-10-01,Versicherungsteuer,9049,9087,10,2009,490.0
10,2009-11-01,Versicherungsteuer,9724,9765,11,2009,678.0
11,2009-12-01,Versicherungsteuer,10478,10548,12,2009,783.0
12,2010-01-01,Versicherungsteuer,543,550,1,2010,550.0
13,2010-02-01,Versicherungsteuer,3858,3752,2,2010,3202.0
14,2010-03-01,Versicherungsteuer,4502,4496,3,2010,744.0
15,2010-04-01,Versicherungsteuer,5129,5185,4,2010,689.0
16,2010-05-01,Versicherungsteuer,5907,5950,5,2010,765.0
17,2010-06-01,Versicherungsteuer,6501,6556,6,2010,606.0
18,2010-07-01,Versicherungsteuer,7070,7119,7,2010,563.0
19,2010-08-01,Versicherungsteuer,8087,8126,8,2010,1007.0
20,2010-09-01,Versicherungsteuer,8597,8665,9,2010,539.0
21,2010-10-01,Versicherungsteuer,9087,9157,10,2010,492.0
22,2010-11-01,Versicherungsteuer,9765,9827,11,2010,670.0
23,2010-12-01,Versicherungsteuer,10548,10284,12,2010,457.0
24,2011-01-01,Versicherungsteuer,550,527,1,2011,527.0
25,2011-02-01,Versicherungsteuer,3752,4283,2,2011,3756.0
26,2011-03-01,Versicherungsteuer,4496,4869,3,2011,586.0
27,2011-04-01,Versicherungsteuer,5185,5553,4,2011,684.0
28,2011-05-01,Versicherungsteuer,5950,6344,5,2011,791.0
29,2011-06-01,Versicherungsteuer,6556,6886,6,2011,542.0
30,2011-07-01,Versicherungsteuer,7119,7437,7,2011,551.0
31,2011-08-01,Versicherungsteuer,8126,8524,8,2011,1087.0
32,2011-09-01,Versicherungsteuer,8665,9032,9,2011,508.0
33,2011-10-01,Versicherungsteuer,9157,9549,10,2011,517.0
34,2011-11-01,Versicherungsteuer,9827,10264,11,2011,715.0
35,2011-12-01,Versicherungsteuer,10284,10755,12,2011,491.0
36,2012-01-01,Versicherungsteuer,527,540,1,2012,540.0
37,2012-02-01,Versicherungsteuer,4283,4557,2,2012,4017.0
38,2012-03-01,Versicherungsteuer,4869,5180,3,2012,623.0
39,2012-04-01,Versicherungsteuer,5553,5844,4,2012,664.0
40,2012-05-01,Versicherungsteuer,6344,6643,5,2012,799.0
41,2012-06-01,Versicherungsteuer,6886,7192,6,2012,549.0
42,2012-07-01,Versicherungsteuer,7437,7756,7,2012,564.0
43,2012-08-01,Versicherungsteuer,8524,8894,8,2012,1138.0
44,2012-09-01,Versicherungsteuer,9032,9353,9,2012,459.0
45,2012-10-01,Versicherungsteuer,9549,9875,10,2012,522.0
46,2012-11-01,Versicherungsteuer,10264,10639,11,2012,764.0
47,2012-12-01,Versicherungsteuer,10755,11138,12,2012,499.0
48,2013-01-01,Versicherungsteuer,540,566,1,2013,566.0
49,2013-02-01,Versicherungsteuer,4557,4793,2,2013,4227.0
50,2013-03-01,Versicherungsteuer,5180,5429,3,2013,636.0
51,2013-04-01,Versicherungsteuer,5844,6096,4,2013,667.0
52,2013-05-01,Versicherungsteuer,6643,6925,5,2013,829.0
53,2013-06-01,Versicherungsteuer,7192,7479,6,2013,554.0
54,2013-07-01,Versicherungsteuer,7756,8048,7,2013,569.0
55,2013-08-01,Versicherungsteuer,8894,9214,8,2013,1166.0
56,2013-09-01,Versicherungsteuer,9353,9735,9,2013,521.0
57,2013-10-01,Versicherungsteuer,9875,10253,10,2013,518.0
58,2013-11-01,Versicherungsteuer,10639,11040,11,2013,787.0
59,2013-12-01,Versicherungsteuer,11138,11553,12,2013,513.0
60,2014-01-01,Versicherungsteuer,566,601,1,2014,601.0
61,2014-02-01,Versicherungsteuer,4793,4485,2,2014,3884.0
62,2014-03-01,Versicherungsteuer,5429,5642,3,2014,1157.0
63,2014-04-01,Versicherungsteuer,6096,6312,4,2014,670.0
64,2014-05-01,Versicherungsteuer,6925,7159,5,2014,847.0
65,2014-06-01,Versicherungsteuer,7479,7738,6,2014,579.0
66,2014-07-01,Versicherungsteuer,8048,8357,7,2014,619.0
67,2014-08-01,Versicherungsteuer,9214,9601,8,2014,1244.0
68,2014-09-01,Versicherungsteuer,9735,10161,9,2014,560.0
69,2014-10-01,Versicherungsteuer,10253,10695,10,2014,534.0
70,2014-11-01,Versicherungsteuer,11040,11522,11,2014,827.0
71,2014-12-01,Versicherungsteuer,11553,12046,12,2014,524.0
72,2015-01-01,Versicherungsteuer,601,1218,1,2015,1218.0
73,2015-02-01,Versicherungsteuer,4485,5105,2,2015,3887.0
74,2015-03-01,Versicherungsteuer,5642,5825,3,2015,720.0
75,2015-04-01,Versicherungsteuer,6312,6514,4,2015,689.0
76,2015-05-01,Versicherungsteuer,7159,7357,5,2015,843.0
77,2015-06-01,Versicherungsteuer,7738,8012,6,2015,655.0
78,2015-07-01,Versicherungsteuer,8357,8639,7,2015,627.0
79,2015-08-01,Versicherungsteuer,9601,9896,8,2015,1257.0
80,2015-09-01,Versicherungsteuer,10161,10448,9,2015,552.0
81,2015-10-01,Versicherungsteuer,10695,11009,10,2015,561.0
82,2015-11-01,Versicherungsteuer,11522,11857,11,2015,848.0
83,2015-12-01,Versicherungsteuer,12046,12419,12,2015,562.0
84,2016-01-01,Versicherungsteuer,1218,1213,1,2016,1213.0
85,2016-02-01,Versicherungsteuer,5105,5164,2,2016,3951.0
86,2016-03-01,Versicherungsteuer,5825,5946,3,2016,782.0
87,2016-04-01,Versicherungsteuer,6514,6665,4,2016,719.0
88,2016-05-01,Versicherungsteuer,7357,7592,5,2016,927.0
89,2016-06-01,Versicherungsteuer,8012,8215,6,2016,623.0
90,2016-07-01,Versicherungsteuer,8639,8869,7,2016,654.0
91,2016-08-01,Versicherungsteuer,9896,10133,8,2016,1264.0
92,2016-09-01,Versicherungsteuer,10448,10725,9,2016,592.0
93,2016-10-01,Versicherungsteuer,11009,11303,10,2016,578.0
94,2016-11-01,Versicherungsteuer,11857,12154,11,2016,851.0
95,2016-12-01,Versicherungsteuer,12419,12763,12,2016,609.0
96,2017-01-01,Versicherungsteuer,1213,1361,1,2017,1361.0
97,2017-02-01,Versicherungsteuer,5164,5455,2,2017,4094.0
98,2017-03-01,Versicherungsteuer,5946,6178,3,2017,723.0
99,2017-04-01,Versicherungsteuer,6665,6928,4,2017,750.0
100,2017-05-01,Versicherungsteuer,7592,7873,5,2017,945.0
101,2017-06-01,Versicherungsteuer,8215,8530,6,2017,657.0
102,2017-07-01,Versicherungsteuer,8869,9196,7,2017,666.0
103,2017-08-01,Versicherungsteuer,10133,10496,8,2017,1300.0
104,2017-09-01,Versicherungsteuer,10725,11199,9,2017,703.0
105,2017-10-01,Versicherungsteuer,11303,11793,10,2017,594.0
106,2017-11-01,Versicherungsteuer,12154,12611,11,2017,818.0
107,2017-12-01,Versicherungsteuer,12763,13269,12,2017,658.0
108,2018-01-01,Versicherungsteuer,1361,834,1,2018,834.0
109,2018-02-01,Versicherungsteuer,5455,5653,2,2018,4819.0
110,2018-03-01,Versicherungsteuer,6178,6388,3,2018,735.0
111,2018-04-01,Versicherungsteuer,6928,7176,4,2018,788.0
112,2018-05-01,Versicherungsteuer,7873,8156,5,2018,980.0
113,2018-06-01,Versicherungsteuer,8530,8830,6,2018,674.0
114,2018-07-01,Versicherungsteuer,9196,9606,7,2018,776.0
115,2018-08-01,Versicherungsteuer,10496,10942,8,2018,1336.0
116,2018-09-01,Versicherungsteuer,11199,11582,9,2018,640.0
117,2018-10-01,Versicherungsteuer,11793,12213,10,2018,631.0
118,2018-11-01,Versicherungsteuer,12611,13128,11,2018,915.0
119,2018-12-01,Versicherungsteuer,13269,13779,12,2018,651.0
