,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-07-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,7,2008,
1,2008-08-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,8,2008,0.0
2,2008-09-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,9,2008,0.0
3,2008-10-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,10,2008,0.0
4,2008-11-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,11,2008,0.0
5,2008-12-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,12,2008,0.0
0,2009-07-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,7,2009,0.0
1,2009-08-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-2285,8,2009,-2285.0
2,2009-09-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-2285,9,2009,0.0
3,2009-10-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-2285,10,2009,0.0
4,2009-11-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-4571,11,2009,-2286.0
5,2009-12-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-4571,12,2009,0.0
6,2010-01-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,1,2010,0.0
7,2010-02-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-2248,2,2010,-2248.0
8,2010-03-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-2248,3,2010,0.0
9,2010-04-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-2248,4,2010,0.0
10,2010-05-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-4496,5,2010,-2248.0
11,2010-06-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-4496,6,2010,0.0
12,2010-07-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-4496,7,2010,0.0
13,2010-08-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-6744,8,2010,-2248.0
14,2010-09-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-6744,9,2010,0.0
15,2010-10-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-6744,10,2010,0.0
16,2010-11-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,-8992,11,2010,-2248.0
17,2010-12-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4571,-8992,12,2010,0.0
18,2011-01-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,1,2011,0.0
19,2011-02-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,2,2011,-2248.0
20,2011-03-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,3,2011,0.0
21,2011-04-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,4,2011,0.0
22,2011-05-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4496,-4496,5,2011,-2248.0
23,2011-06-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4496,-4496,6,2011,0.0
24,2011-07-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4496,-4496,7,2011,0.0
25,2011-08-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-6744,-6744,8,2011,-2248.0
26,2011-09-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-6744,-6744,9,2011,0.0
27,2011-10-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-6744,-6744,10,2011,0.0
28,2011-11-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-8992,-8992,11,2011,-2248.0
29,2011-12-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-8992,-8992,12,2011,0.0
30,2012-01-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,1,2012,0.0
31,2012-02-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,2,2012,-2248.0
32,2012-03-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,3,2012,0.0
33,2012-04-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,4,2012,0.0
34,2012-05-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4496,-4496,5,2012,-2248.0
35,2012-06-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4496,-4496,6,2012,0.0
36,2012-07-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-4496,-4496,7,2012,0.0
37,2012-08-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-6744,-6744,8,2012,-2248.0
38,2012-09-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-6744,-6744,9,2012,0.0
39,2012-10-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-6744,-6744,10,2012,0.0
40,2012-11-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-8992,-8992,11,2012,-2248.0
41,2012-12-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-8992,-8992,12,2012,0.0
42,2013-01-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,0,0,1,2013,0.0
43,2013-02-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,2,2013,-2248.0
44,2013-03-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,3,2013,0.0
45,2013-04-01,Zuweisung an die Länder für Kfz-Steuer und Lkw-Maut,-2248,-2248,4,2013,0.0
