,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,Zuweisungen an Länder für ÖPNV,0,-556,1,2008,-556.0
1,2008-02-01,Zuweisungen an Länder für ÖPNV,0,-1113,2,2008,-557.0
2,2008-03-01,Zuweisungen an Länder für ÖPNV,0,-1669,3,2008,-556.0
3,2008-04-01,Zuweisungen an Länder für ÖPNV,0,-2225,4,2008,-556.0
4,2008-05-01,Zuweisungen an Länder für ÖPNV,0,-2781,5,2008,-556.0
5,2008-06-01,Zuweisungen an Länder für ÖPNV,0,-3338,6,2008,-557.0
6,2008-07-01,Zuweisungen an Länder für ÖPNV,0,-3894,7,2008,-556.0
7,2008-08-01,Zuweisungen an Länder für ÖPNV,0,-4450,8,2008,-556.0
8,2008-09-01,Zuweisungen an Länder für ÖPNV,0,-5006,9,2008,-556.0
9,2008-10-01,Zuweisungen an Länder für ÖPNV,0,-5563,10,2008,-557.0
10,2008-11-01,Zuweisungen an Länder für ÖPNV,0,-6119,11,2008,-556.0
11,2008-12-01,Zuweisungen an Länder für ÖPNV,0,-6675,12,2008,-556.0
0,2009-01-01,Zuweisungen an Länder für ÖPNV,-556,-565,1,2009,-565.0
1,2009-02-01,Zuweisungen an Länder für ÖPNV,-1113,-1129,2,2009,-564.0
2,2009-03-01,Zuweisungen an Länder für ÖPNV,-1669,-1694,3,2009,-565.0
3,2009-04-01,Zuweisungen an Länder für ÖPNV,-2225,-2258,4,2009,-564.0
4,2009-05-01,Zuweisungen an Länder für ÖPNV,-2781,-2823,5,2009,-565.0
5,2009-06-01,Zuweisungen an Länder für ÖPNV,-3338,-3388,6,2009,-565.0
6,2009-07-01,Zuweisungen an Länder für ÖPNV,-3894,-3952,7,2009,-564.0
7,2009-08-01,Zuweisungen an Länder für ÖPNV,-4450,-4517,8,2009,-565.0
8,2009-09-01,Zuweisungen an Länder für ÖPNV,-5006,-5081,9,2009,-564.0
9,2009-10-01,Zuweisungen an Länder für ÖPNV,-5563,-5646,10,2009,-565.0
10,2009-11-01,Zuweisungen an Länder für ÖPNV,-6119,-6211,11,2009,-565.0
11,2009-12-01,Zuweisungen an Länder für ÖPNV,-6675,-6775,12,2009,-564.0
12,2010-01-01,Zuweisungen an Länder für ÖPNV,-565,-573,1,2010,-573.0
13,2010-02-01,Zuweisungen an Länder für ÖPNV,-1129,-1146,2,2010,-573.0
14,2010-03-01,Zuweisungen an Länder für ÖPNV,-1694,-1719,3,2010,-573.0
15,2010-04-01,Zuweisungen an Länder für ÖPNV,-2258,-2292,4,2010,-573.0
16,2010-05-01,Zuweisungen an Länder für ÖPNV,-2823,-2865,5,2010,-573.0
17,2010-06-01,Zuweisungen an Länder für ÖPNV,-3388,-3438,6,2010,-573.0
18,2010-07-01,Zuweisungen an Länder für ÖPNV,-3952,-4011,7,2010,-573.0
19,2010-08-01,Zuweisungen an Länder für ÖPNV,-4517,-4585,8,2010,-574.0
20,2010-09-01,Zuweisungen an Länder für ÖPNV,-5081,-5158,9,2010,-573.0
21,2010-10-01,Zuweisungen an Länder für ÖPNV,-5646,-5731,10,2010,-573.0
22,2010-11-01,Zuweisungen an Länder für ÖPNV,-6211,-6304,11,2010,-573.0
23,2010-12-01,Zuweisungen an Länder für ÖPNV,-6775,-6877,12,2010,-573.0
24,2011-01-01,Zuweisungen an Länder für ÖPNV,-573,-582,1,2011,-582.0
25,2011-02-01,Zuweisungen an Länder für ÖPNV,-1146,-1163,2,2011,-581.0
26,2011-03-01,Zuweisungen an Länder für ÖPNV,-1719,-1745,3,2011,-582.0
27,2011-04-01,Zuweisungen an Länder für ÖPNV,-2292,-2327,4,2011,-582.0
28,2011-05-01,Zuweisungen an Länder für ÖPNV,-2865,-2908,5,2011,-581.0
29,2011-06-01,Zuweisungen an Länder für ÖPNV,-3438,-3490,6,2011,-582.0
30,2011-07-01,Zuweisungen an Länder für ÖPNV,-4011,-4072,7,2011,-582.0
31,2011-08-01,Zuweisungen an Länder für ÖPNV,-4585,-4653,8,2011,-581.0
