,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
0,2008-01-01,nicht veranlagte Steuer vom Ertrag,0,796,1,2008,796.0
1,2008-02-01,nicht veranlagte Steuer vom Ertrag,0,1180,2,2008,384.0
2,2008-03-01,nicht veranlagte Steuer vom Ertrag,0,1545,3,2008,365.0
3,2008-04-01,nicht veranlagte Steuer vom Ertrag,0,2898,4,2008,1353.0
4,2008-05-01,nicht veranlagte Steuer vom Ertrag,0,4588,5,2008,1690.0
5,2008-06-01,nicht veranlagte Steuer vom Ertrag,0,5348,6,2008,760.0
6,2008-07-01,nicht veranlagte Steuer vom Ertrag,0,6005,7,2008,657.0
7,2008-08-01,nicht veranlagte Steuer vom Ertrag,0,6358,8,2008,353.0
8,2008-09-01,nicht veranlagte Steuer vom Ertrag,0,6560,9,2008,202.0
9,2008-10-01,nicht veranlagte Steuer vom Ertrag,0,6849,10,2008,289.0
10,2008-11-01,nicht veranlagte Steuer vom Ertrag,0,7094,11,2008,245.0
11,2008-12-01,nicht veranlagte Steuer vom Ertrag,0,8305,12,2008,1211.0
0,2009-01-01,nicht veranlagte Steuer vom Ertrag,796,1040,1,2009,1040.0
1,2009-02-01,nicht veranlagte Steuer vom Ertrag,1180,1473,2,2009,433.0
2,2009-03-01,nicht veranlagte Steuer vom Ertrag,1545,1598,3,2009,125.0
3,2009-04-01,nicht veranlagte Steuer vom Ertrag,2898,2698,4,2009,1100.0
4,2009-05-01,nicht veranlagte Steuer vom Ertrag,4588,4286,5,2009,1588.0
5,2009-06-01,nicht veranlagte Steuer vom Ertrag,5348,4653,6,2009,367.0
6,2009-07-01,nicht veranlagte Steuer vom Ertrag,6005,5139,7,2009,486.0
7,2009-08-01,nicht veranlagte Steuer vom Ertrag,6358,5345,8,2009,206.0
8,2009-09-01,nicht veranlagte Steuer vom Ertrag,6560,5508,9,2009,163.0
9,2009-10-01,nicht veranlagte Steuer vom Ertrag,6849,5621,10,2009,113.0
10,2009-11-01,nicht veranlagte Steuer vom Ertrag,7094,5736,11,2009,115.0
11,2009-12-01,nicht veranlagte Steuer vom Ertrag,8305,6237,12,2009,501.0
12,2010-01-01,nicht veranlagte Steuer vom Ertrag,1040,596,1,2010,596.0
13,2010-02-01,nicht veranlagte Steuer vom Ertrag,1473,1107,2,2010,511.0
14,2010-03-01,nicht veranlagte Steuer vom Ertrag,1598,1403,3,2010,296.0
15,2010-04-01,nicht veranlagte Steuer vom Ertrag,2698,2233,4,2010,830.0
16,2010-05-01,nicht veranlagte Steuer vom Ertrag,4286,3960,5,2010,1727.0
17,2010-06-01,nicht veranlagte Steuer vom Ertrag,4653,4475,6,2010,515.0
18,2010-07-01,nicht veranlagte Steuer vom Ertrag,5139,5095,7,2010,620.0
19,2010-08-01,nicht veranlagte Steuer vom Ertrag,5345,5262,8,2010,167.0
20,2010-09-01,nicht veranlagte Steuer vom Ertrag,5508,5490,9,2010,228.0
21,2010-10-01,nicht veranlagte Steuer vom Ertrag,5621,5705,10,2010,215.0
22,2010-11-01,nicht veranlagte Steuer vom Ertrag,5736,5869,11,2010,164.0
23,2010-12-01,nicht veranlagte Steuer vom Ertrag,6237,6491,12,2010,622.0
24,2011-01-01,nicht veranlagte Steuer vom Ertrag,596,2112,1,2011,2112.0
25,2011-02-01,nicht veranlagte Steuer vom Ertrag,1107,2211,2,2011,99.0
26,2011-03-01,nicht veranlagte Steuer vom Ertrag,1403,2546,3,2011,335.0
27,2011-04-01,nicht veranlagte Steuer vom Ertrag,2233,3792,4,2011,1246.0
28,2011-05-01,nicht veranlagte Steuer vom Ertrag,3960,6012,5,2011,2220.0
29,2011-06-01,nicht veranlagte Steuer vom Ertrag,4475,6685,6,2011,673.0
30,2011-07-01,nicht veranlagte Steuer vom Ertrag,5095,7309,7,2011,624.0
31,2011-08-01,nicht veranlagte Steuer vom Ertrag,5262,7498,8,2011,189.0
32,2011-09-01,nicht veranlagte Steuer vom Ertrag,5490,7852,9,2011,354.0
33,2011-10-01,nicht veranlagte Steuer vom Ertrag,5705,8032,10,2011,180.0
34,2011-11-01,nicht veranlagte Steuer vom Ertrag,5869,8263,11,2011,231.0
35,2011-12-01,nicht veranlagte Steuer vom Ertrag,6491,9068,12,2011,805.0
36,2012-01-01,nicht veranlagte Steuer vom Ertrag,2112,1358,1,2012,1358.0
37,2012-02-01,nicht veranlagte Steuer vom Ertrag,2211,1599,2,2012,241.0
38,2012-03-01,nicht veranlagte Steuer vom Ertrag,2546,2536,3,2012,937.0
39,2012-04-01,nicht veranlagte Steuer vom Ertrag,3792,3014,4,2012,478.0
40,2012-05-01,nicht veranlagte Steuer vom Ertrag,6012,3899,5,2012,885.0
41,2012-06-01,nicht veranlagte Steuer vom Ertrag,6685,5729,6,2012,1830.0
42,2012-07-01,nicht veranlagte Steuer vom Ertrag,7309,7241,7,2012,1512.0
43,2012-08-01,nicht veranlagte Steuer vom Ertrag,7498,8196,8,2012,955.0
44,2012-09-01,nicht veranlagte Steuer vom Ertrag,7852,8713,9,2012,517.0
45,2012-10-01,nicht veranlagte Steuer vom Ertrag,8032,9096,10,2012,383.0
46,2012-11-01,nicht veranlagte Steuer vom Ertrag,8263,9241,11,2012,145.0
47,2012-12-01,nicht veranlagte Steuer vom Ertrag,9068,10028,12,2012,787.0
48,2013-01-01,nicht veranlagte Steuer vom Ertrag,1358,731,1,2013,731.0
49,2013-02-01,nicht veranlagte Steuer vom Ertrag,1599,1002,2,2013,271.0
50,2013-03-01,nicht veranlagte Steuer vom Ertrag,2536,1506,3,2013,504.0
51,2013-04-01,nicht veranlagte Steuer vom Ertrag,3014,2211,4,2013,705.0
52,2013-05-01,nicht veranlagte Steuer vom Ertrag,3899,3447,5,2013,1236.0
53,2013-06-01,nicht veranlagte Steuer vom Ertrag,5729,4981,6,2013,1534.0
54,2013-07-01,nicht veranlagte Steuer vom Ertrag,7241,6255,7,2013,1274.0
55,2013-08-01,nicht veranlagte Steuer vom Ertrag,8196,6876,8,2013,621.0
56,2013-09-01,nicht veranlagte Steuer vom Ertrag,8713,7230,9,2013,354.0
57,2013-10-01,nicht veranlagte Steuer vom Ertrag,9096,7581,10,2013,351.0
58,2013-11-01,nicht veranlagte Steuer vom Ertrag,9241,7872,11,2013,291.0
59,2013-12-01,nicht veranlagte Steuer vom Ertrag,10028,8631,12,2013,759.0
60,2014-01-01,nicht veranlagte Steuer vom Ertrag,731,691,1,2014,691.0
61,2014-02-01,nicht veranlagte Steuer vom Ertrag,1002,992,2,2014,301.0
62,2014-03-01,nicht veranlagte Steuer vom Ertrag,1506,1503,3,2014,511.0
63,2014-04-01,nicht veranlagte Steuer vom Ertrag,2211,1916,4,2014,413.0
64,2014-05-01,nicht veranlagte Steuer vom Ertrag,3447,2494,5,2014,578.0
65,2014-06-01,nicht veranlagte Steuer vom Ertrag,4981,4253,6,2014,1759.0
66,2014-07-01,nicht veranlagte Steuer vom Ertrag,6255,5722,7,2014,1469.0
67,2014-08-01,nicht veranlagte Steuer vom Ertrag,6876,6239,8,2014,517.0
68,2014-09-01,nicht veranlagte Steuer vom Ertrag,7230,6765,9,2014,526.0
69,2014-10-01,nicht veranlagte Steuer vom Ertrag,7581,7352,10,2014,587.0
70,2014-11-01,nicht veranlagte Steuer vom Ertrag,7872,7679,11,2014,327.0
71,2014-12-01,nicht veranlagte Steuer vom Ertrag,8631,8712,12,2014,1033.0
72,2015-01-01,nicht veranlagte Steuer vom Ertrag,691,782,1,2015,782.0
73,2015-02-01,nicht veranlagte Steuer vom Ertrag,992,1054,2,2015,272.0
74,2015-03-01,nicht veranlagte Steuer vom Ertrag,1503,1464,3,2015,410.0
75,2015-04-01,nicht veranlagte Steuer vom Ertrag,1916,1944,4,2015,480.0
76,2015-05-01,nicht veranlagte Steuer vom Ertrag,2494,2580,5,2015,636.0
77,2015-06-01,nicht veranlagte Steuer vom Ertrag,4253,3972,6,2015,1392.0
78,2015-07-01,nicht veranlagte Steuer vom Ertrag,5722,6257,7,2015,2285.0
79,2015-08-01,nicht veranlagte Steuer vom Ertrag,6239,6735,8,2015,478.0
80,2015-09-01,nicht veranlagte Steuer vom Ertrag,6765,7073,9,2015,338.0
81,2015-10-01,nicht veranlagte Steuer vom Ertrag,7352,7579,10,2015,506.0
82,2015-11-01,nicht veranlagte Steuer vom Ertrag,7679,7937,11,2015,358.0
83,2015-12-01,nicht veranlagte Steuer vom Ertrag,8712,8968,12,2015,1031.0
84,2016-01-01,nicht veranlagte Steuer vom Ertrag,782,538,1,2016,538.0
85,2016-02-01,nicht veranlagte Steuer vom Ertrag,1054,936,2,2016,398.0
86,2016-03-01,nicht veranlagte Steuer vom Ertrag,1464,1487,3,2016,551.0
87,2016-04-01,nicht veranlagte Steuer vom Ertrag,1944,2083,4,2016,596.0
88,2016-05-01,nicht veranlagte Steuer vom Ertrag,2580,3204,5,2016,1121.0
89,2016-06-01,nicht veranlagte Steuer vom Ertrag,3972,5142,6,2016,1938.0
90,2016-07-01,nicht veranlagte Steuer vom Ertrag,6257,6604,7,2016,1462.0
91,2016-08-01,nicht veranlagte Steuer vom Ertrag,6735,7372,8,2016,768.0
92,2016-09-01,nicht veranlagte Steuer vom Ertrag,7073,7848,9,2016,476.0
93,2016-10-01,nicht veranlagte Steuer vom Ertrag,7579,8247,10,2016,399.0
94,2016-11-01,nicht veranlagte Steuer vom Ertrag,7937,8537,11,2016,290.0
95,2016-12-01,nicht veranlagte Steuer vom Ertrag,8968,9731,12,2016,1194.0
96,2017-01-01,nicht veranlagte Steuer vom Ertrag,538,695,1,2017,695.0
97,2017-02-01,nicht veranlagte Steuer vom Ertrag,936,975,2,2017,280.0
98,2017-03-01,nicht veranlagte Steuer vom Ertrag,1487,1818,3,2017,843.0
99,2017-04-01,nicht veranlagte Steuer vom Ertrag,2083,2405,4,2017,587.0
100,2017-05-01,nicht veranlagte Steuer vom Ertrag,3204,3638,5,2017,1233.0
101,2017-06-01,nicht veranlagte Steuer vom Ertrag,5142,4610,6,2017,972.0
102,2017-07-01,nicht veranlagte Steuer vom Ertrag,6604,6676,7,2017,2066.0
103,2017-08-01,nicht veranlagte Steuer vom Ertrag,7372,8120,8,2017,1444.0
104,2017-09-01,nicht veranlagte Steuer vom Ertrag,7848,8562,9,2017,442.0
105,2017-10-01,nicht veranlagte Steuer vom Ertrag,8247,8921,10,2017,359.0
106,2017-11-01,nicht veranlagte Steuer vom Ertrag,8537,9381,11,2017,460.0
107,2017-12-01,nicht veranlagte Steuer vom Ertrag,9731,10451,12,2017,1070.0
108,2018-01-01,nicht veranlagte Steuer vom Ertrag,695,734,1,2018,734.0
109,2018-02-01,nicht veranlagte Steuer vom Ertrag,975,1076,2,2018,342.0
110,2018-03-01,nicht veranlagte Steuer vom Ertrag,1818,1758,3,2018,682.0
111,2018-04-01,nicht veranlagte Steuer vom Ertrag,2405,2535,4,2018,777.0
112,2018-05-01,nicht veranlagte Steuer vom Ertrag,3638,4061,5,2018,1526.0
113,2018-06-01,nicht veranlagte Steuer vom Ertrag,4610,6423,6,2018,2362.0
114,2018-07-01,nicht veranlagte Steuer vom Ertrag,6676,8639,7,2018,2216.0
115,2018-08-01,nicht veranlagte Steuer vom Ertrag,8120,9206,8,2018,567.0
116,2018-09-01,nicht veranlagte Steuer vom Ertrag,8562,9717,9,2018,511.0
117,2018-10-01,nicht veranlagte Steuer vom Ertrag,8921,10148,10,2018,431.0
118,2018-11-01,nicht veranlagte Steuer vom Ertrag,9381,10586,11,2018,438.0
119,2018-12-01,nicht veranlagte Steuer vom Ertrag,10451,11592,12,2018,1006.0
