,Category,Difference Method,Percentage Method,Date,Year,Month,Rolling Total
2019-01-01,Lohnsteuer,89037.34178883347,89150.73198673487,2019-01-01,2019,1,89037.34178883347
2019-02-01,Lohnsteuer,89536.92708024199,89823.80042553387,2019-02-01,2019,2,89536.92708024199
2019-03-01,Lohnsteuer,90025.98071967525,90522.96534340036,2019-03-01,2019,3,90025.98071967525
2019-04-01,Lohnsteuer,90518.84249576028,91210.85547517681,2019-04-01,2019,4,90518.84249576028
2019-05-01,Lohnsteuer,91017.5808346094,91873.17014352593,2019-05-01,2019,5,91017.5808346094
2019-06-01,Lohnsteuer,91533.21844176904,92515.7164658661,2019-06-01,2019,6,91533.21844176904
2019-07-01,Lohnsteuer,92022.23717783378,93234.17498447683,2019-07-01,2019,7,92022.23717783378
2019-08-01,Lohnsteuer,92549.84424295138,93870.77270293422,2019-08-01,2019,8,92549.84424295138
2019-09-01,Lohnsteuer,93019.93657227347,94651.65082713637,2019-09-01,2019,9,93019.93657227347
2019-10-01,Lohnsteuer,93514.77542271213,95436.21954237156,2019-10-01,2019,10,93514.77542271213
2019-11-01,Lohnsteuer,94019.28389292427,96121.99932172347,2019-11-01,2019,11,94019.28389292427
2019-12-01,Lohnsteuer,94514.92520122716,96839.10893209219,2019-12-01,2019,12,94514.92520122716
2020-01-01,Lohnsteuer,95015.58558612439,97611.83728988393,2020-01-01,2020,1,95015.58558612439
2020-02-01,Lohnsteuer,95517.50367823456,98366.80600705837,2020-02-01,2020,2,95517.50367823456
2020-03-01,Lohnsteuer,96019.79877251547,99129.01079090248,2020-03-01,2020,3,96019.79877251547
2020-04-01,Lohnsteuer,96523.03329728745,99875.87070369865,2020-04-01,2020,4,96523.03329728745
2020-05-01,Lohnsteuer,97053.65021743187,100613.12622010612,2020-05-01,2020,5,97053.65021743187
2020-06-01,Lohnsteuer,97555.58727061594,101411.89021087754,2020-06-01,2020,6,97555.58727061594
2020-07-01,Lohnsteuer,98082.25082690244,102143.40464347955,2020-07-01,2020,7,98082.25082690244
2020-08-01,Lohnsteuer,98577.48696058537,102973.16980108073,2020-08-01,2020,8,98577.48696058537
2020-09-01,Lohnsteuer,99088.55640135179,103724.6085140495,2020-09-01,2020,9,99088.55640135179
2020-10-01,Lohnsteuer,99596.28202563788,104454.49720582378,2020-10-01,2020,10,99596.28202563788
2020-11-01,Lohnsteuer,100120.09472599618,105257.81245414657,2020-11-01,2020,11,100120.09472599618
2020-12-01,Lohnsteuer,100651.67534615872,105981.38155660413,2020-12-01,2020,12,100651.67534615872
2019-01-01,Veranlagte Einkommensteuer,25617.340845577517,25608.984697824864,2019-01-01,2019,1,25608.984697824864
2019-02-01,Veranlagte Einkommensteuer,25704.383231926247,25704.14803905418,2019-02-01,2019,2,25704.14803905418
2019-03-01,Veranlagte Einkommensteuer,26056.26227654706,26165.92242956561,2019-03-01,2019,3,26056.26227654706
2019-04-01,Veranlagte Einkommensteuer,26107.16056155617,26298.293220360065,2019-04-01,2019,4,26107.16056155617
2019-05-01,Veranlagte Einkommensteuer,26058.40375779197,26266.10881167991,2019-05-01,2019,5,26058.40375779197
2019-06-01,Veranlagte Einkommensteuer,26334.29860865967,26620.341749598832,2019-06-01,2019,6,26334.29860865967
2019-07-01,Veranlagte Einkommensteuer,26302.901585242158,26649.576714251034,2019-07-01,2019,7,26302.901585242158
2019-08-01,Veranlagte Einkommensteuer,26262.76026242829,26589.824605404167,2019-08-01,2019,8,26262.76026242829
2019-09-01,Veranlagte Einkommensteuer,26404.195482610336,26719.62866376473,2019-09-01,2019,9,26404.195482610336
2019-10-01,Veranlagte Einkommensteuer,26350.822314463167,26645.54681012371,2019-10-01,2019,10,26350.822314463167
2019-11-01,Veranlagte Einkommensteuer,26301.48784192463,26606.944050014205,2019-11-01,2019,11,26301.48784192463
2019-12-01,Veranlagte Einkommensteuer,26408.443400175023,26637.15285891759,2019-12-01,2019,12,26408.443400175023
2020-01-01,Veranlagte Einkommensteuer,26382.000353202267,26581.463757225505,2020-01-01,2020,1,26382.000353202267
2020-02-01,Veranlagte Einkommensteuer,26409.491866025346,26537.03397131743,2020-02-01,2020,2,26409.491866025346
2020-03-01,Veranlagte Einkommensteuer,26464.798609323785,26463.05766117197,2020-03-01,2020,3,26463.05766117197
2020-04-01,Veranlagte Einkommensteuer,26474.703765115035,26530.199393787898,2020-04-01,2020,4,26474.703765115035
2020-05-01,Veranlagte Einkommensteuer,26432.635714895514,26417.29336049831,2020-05-01,2020,5,26417.29336049831
2020-06-01,Veranlagte Einkommensteuer,26410.19250343718,26330.045580708174,2020-06-01,2020,6,26330.045580708174
2020-07-01,Veranlagte Einkommensteuer,26293.077940210984,26067.946679795972,2020-07-01,2020,7,26067.946679795972
2020-08-01,Veranlagte Einkommensteuer,26302.214024469256,26072.47075557748,2020-08-01,2020,8,26072.47075557748
2020-09-01,Veranlagte Einkommensteuer,26344.354412212775,25900.14484717997,2020-09-01,2020,9,25900.14484717997
2020-10-01,Veranlagte Einkommensteuer,26317.736855560655,25794.735984518076,2020-10-01,2020,10,25794.735984518076
2020-11-01,Veranlagte Einkommensteuer,26300.485323354584,25751.634699870658,2020-11-01,2020,11,25751.634699870658
2020-12-01,Veranlagte Einkommensteuer,26365.21408453569,25622.35726350888,2020-12-01,2020,12,25622.35726350888
2019-01-01,nicht veranlagte Steuer vom Ertrag,11610.655110845966,11776.421898191316,2019-01-01,2019,1,11610.655110845966
2019-02-01,nicht veranlagte Steuer vom Ertrag,11591.870486424761,11636.798461202587,2019-02-01,2019,2,11591.870486424761
2019-03-01,nicht veranlagte Steuer vom Ertrag,11642.570068815798,11980.198723924339,2019-03-01,2019,3,11642.570068815798
2019-04-01,nicht veranlagte Steuer vom Ertrag,11639.826361800828,11970.424719302797,2019-04-01,2019,4,11639.826361800828
2019-05-01,nicht veranlagte Steuer vom Ertrag,11658.670729629439,12103.29488489839,2019-05-01,2019,5,11658.670729629439
2019-06-01,nicht veranlagte Steuer vom Ertrag,11502.643313359738,10958.980039808315,2019-06-01,2019,6,10958.980039808315
2019-07-01,nicht veranlagte Steuer vom Ertrag,11580.055261526102,11681.649960945348,2019-07-01,2019,7,11580.055261526102
2019-08-01,nicht veranlagte Steuer vom Ertrag,11695.176970911669,12479.403147012958,2019-08-01,2019,8,11695.176970911669
2019-09-01,nicht veranlagte Steuer vom Ertrag,11694.06196098062,12436.958304712052,2019-09-01,2019,9,11694.06196098062
2019-10-01,nicht veranlagte Steuer vom Ertrag,11689.524977211446,12388.745762833554,2019-10-01,2019,10,11689.524977211446
2019-11-01,nicht veranlagte Steuer vom Ertrag,11718.413013942378,12589.702683156962,2019-11-01,2019,11,11718.413013942378
2019-12-01,nicht veranlagte Steuer vom Ertrag,11696.908673758595,12443.399430499476,2019-12-01,2019,12,11696.908673758595
2020-01-01,nicht veranlagte Steuer vom Ertrag,11711.454582348368,12486.323451459912,2020-01-01,2020,1,11711.454582348368
2020-02-01,nicht veranlagte Steuer vom Ertrag,11718.28359850642,12561.094113387884,2020-02-01,2020,2,11718.28359850642
2020-03-01,nicht veranlagte Steuer vom Ertrag,11685.936355965616,12373.01272751729,2020-03-01,2020,3,11685.936355965616
2020-04-01,nicht veranlagte Steuer vom Ertrag,11714.073076394197,12598.646501407064,2020-04-01,2020,4,11714.073076394197
2020-05-01,nicht veranlagte Steuer vom Ertrag,11747.30471795215,12950.454703752037,2020-05-01,2020,5,11747.30471795215
2020-06-01,nicht veranlagte Steuer vom Ertrag,11968.903548233686,14597.50921878311,2020-06-01,2020,6,11968.903548233686
2020-07-01,nicht veranlagte Steuer vom Ertrag,12019.756439814451,14763.6149205605,2020-07-01,2020,7,12019.756439814451
2020-08-01,nicht veranlagte Steuer vom Ertrag,11859.506050320517,13734.327345046337,2020-08-01,2020,8,11859.506050320517
2020-09-01,nicht veranlagte Steuer vom Ertrag,11867.917310163659,13817.519491780246,2020-09-01,2020,9,11867.917310163659
2020-10-01,nicht veranlagte Steuer vom Ertrag,11884.578821812234,13901.07344441067,2020-10-01,2020,10,11884.578821812234
2020-11-01,nicht veranlagte Steuer vom Ertrag,11883.15523312306,13874.229634343365,2020-11-01,2020,11,11883.15523312306
2020-12-01,nicht veranlagte Steuer vom Ertrag,11868.762859375778,13800.900194986096,2020-12-01,2020,12,11868.762859375778
2019-01-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2716.549527485723,2716.549527485723,2019-01-01,2019,1,2716.549527485723
2019-02-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2839.7376890963187,2839.7376890963187,2019-02-01,2019,2,2839.7376890963187
2019-03-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2843.9546655064323,2843.9546655064323,2019-03-01,2019,3,2843.9546655064323
2019-04-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2924.9839416860273,2924.9839416860273,2019-04-01,2019,4,2924.9839416860273
2019-05-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2973.588755762802,2973.588755762802,2019-05-01,2019,5,2973.588755762802
2019-06-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3031.240486556927,3031.240486556927,2019-06-01,2019,6,3031.240486556927
2019-07-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3055.1305011890227,3055.1305011890227,2019-07-01,2019,7,3055.1305011890227
2019-08-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3044.9416075316844,3044.9416075316844,2019-08-01,2019,8,3044.9416075316844
2019-09-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3051.0867049753574,3051.0867049753574,2019-09-01,2019,9,3051.0867049753574
2019-10-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3043.776590792057,3043.776590792057,2019-10-01,2019,10,3043.776590792057
2019-11-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3064.9017187237423,3064.9017187237423,2019-11-01,2019,11,3064.9017187237423
2019-12-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3105.8533082612103,3105.8533082612103,2019-12-01,2019,12,3105.8533082612103
2020-01-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3097.2805871469563,3097.2805871469563,2020-01-01,2020,1,3097.2805871469563
2020-02-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3108.4731131939493,3108.4731131939493,2020-02-01,2020,2,3108.4731131939493
2020-03-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3081.785843164665,3081.785843164665,2020-03-01,2020,3,3081.785843164665
2020-04-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,3015.759892079121,3015.759892079121,2020-04-01,2020,4,3015.759892079121
2020-05-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2950.416642602083,2950.416642602083,2020-05-01,2020,5,2950.416642602083
