,Category,Current Year Total,Date,Difference Method,Month,Monthly Total,Percentage Method,Prior Year Total,Rolling Total,Year
2008-01-01,Lohnsteuer,3728.0,2008-01-01,,1,3728.0,,0.0,,2008
2008-02-01,Lohnsteuer,8197.0,2008-02-01,,2,4469.0,,0.0,,2008
2008-03-01,Lohnsteuer,12562.0,2008-03-01,,3,4365.0,,0.0,,2008
2008-04-01,Lohnsteuer,17352.0,2008-04-01,,4,4790.0,,0.0,,2008
2008-05-01,Lohnsteuer,22211.0,2008-05-01,,5,4859.0,,0.0,,2008
2008-06-01,Lohnsteuer,27287.0,2008-06-01,,6,5076.0,,0.0,,2008
2008-07-01,Lohnsteuer,32641.0,2008-07-01,,7,5354.0,,0.0,,2008
2008-08-01,Lohnsteuer,37337.0,2008-08-01,,8,4696.0,,0.0,,2008
2008-09-01,Lohnsteuer,41802.0,2008-09-01,,9,4465.0,,0.0,,2008
2008-10-01,Lohnsteuer,46310.0,2008-10-01,,10,4508.0,,0.0,,2008
2008-11-01,Lohnsteuer,50926.0,2008-11-01,,11,4616.0,,0.0,,2008
2008-12-01,Lohnsteuer,60310.0,2008-12-01,,12,9384.0,,0.0,60310.0,2008
2009-01-01,Lohnsteuer,3984.0,2009-01-01,,1,3984.0,,3728.0,60566.0,2009
2009-02-01,Lohnsteuer,8611.0,2009-02-01,,2,4627.0,,8197.0,60724.0,2009
2009-03-01,Lohnsteuer,12986.0,2009-03-01,,3,4375.0,,12562.0,60734.0,2009
2009-04-01,Lohnsteuer,16126.0,2009-04-01,,4,3140.0,,17352.0,59084.0,2009
2009-05-01,Lohnsteuer,21109.0,2009-05-01,,5,4983.0,,22211.0,59208.0,2009
2009-06-01,Lohnsteuer,25933.0,2009-06-01,,6,4824.0,,27287.0,58956.0,2009
2009-07-01,Lohnsteuer,31073.0,2009-07-01,,7,5140.0,,32641.0,58742.0,2009
2009-08-01,Lohnsteuer,35367.0,2009-08-01,,8,4294.0,,37337.0,58340.0,2009
2009-09-01,Lohnsteuer,39641.0,2009-09-01,,9,4274.0,,41802.0,58149.0,2009
2009-10-01,Lohnsteuer,44015.0,2009-10-01,,10,4374.0,,46310.0,58015.0,2009
2009-11-01,Lohnsteuer,48278.0,2009-11-01,,11,4263.0,,50926.0,57662.0,2009
2009-12-01,Lohnsteuer,57248.0,2009-12-01,,12,8970.0,,60310.0,57248.0,2009
2010-01-01,Lohnsteuer,3579.0,2010-01-01,,1,3579.0,,3984.0,56843.0,2010
2010-02-01,Lohnsteuer,7588.0,2010-02-01,,2,4009.0,,8611.0,56225.0,2010
2010-03-01,Lohnsteuer,11465.0,2010-03-01,,3,3877.0,,12986.0,55727.0,2010
2010-04-01,Lohnsteuer,15878.0,2010-04-01,,4,4413.0,,16126.0,57000.0,2010
2010-05-01,Lohnsteuer,19842.0,2010-05-01,,5,3964.0,,21109.0,55981.0,2010
2010-06-01,Lohnsteuer,24490.0,2010-06-01,,6,4648.0,,25933.0,55805.0,2010
2010-07-01,Lohnsteuer,29297.0,2010-07-01,,7,4807.0,,31074.0,55472.0,2010
2010-08-01,Lohnsteuer,33410.0,2010-08-01,,8,4113.0,,35367.0,55291.0,2010
2010-09-01,Lohnsteuer,37457.0,2010-09-01,,9,4047.0,,39641.0,55064.0,2010
2010-10-01,Lohnsteuer,41569.0,2010-10-01,,10,4112.0,,44015.0,54802.0,2010
2010-11-01,Lohnsteuer,45702.0,2010-11-01,,11,4133.0,,48278.0,54672.0,2010
2010-12-01,Lohnsteuer,54759.0,2010-12-01,,12,9057.0,,57248.0,54759.0,2010
2011-01-01,Lohnsteuer,3473.0,2011-01-01,,1,3473.0,,3579.0,54653.0,2011
2011-02-01,Lohnsteuer,7872.0,2011-02-01,,2,4399.0,,7588.0,55043.0,2011
2011-03-01,Lohnsteuer,12146.0,2011-03-01,,3,4274.0,,11465.0,55440.0,2011
2011-04-01,Lohnsteuer,16989.0,2011-04-01,,4,4843.0,,15878.0,55870.0,2011
2011-05-01,Lohnsteuer,21483.0,2011-05-01,,5,4494.0,,19842.0,56400.0,2011
2011-06-01,Lohnsteuer,26657.0,2011-06-01,,6,5174.0,,24490.0,56926.0,2011
2011-07-01,Lohnsteuer,31945.0,2011-07-01,,7,5288.0,,29297.0,57407.0,2011
2011-08-01,Lohnsteuer,36458.0,2011-08-01,,8,4513.0,,33410.0,57807.0,2011
2011-09-01,Lohnsteuer,40887.0,2011-09-01,,9,4429.0,,37457.0,58189.0,2011
2011-10-01,Lohnsteuer,45400.0,2011-10-01,,10,4513.0,,41569.0,58590.0,2011
2011-11-01,Lohnsteuer,50046.0,2011-11-01,,11,4646.0,,45702.0,59103.0,2011
2011-12-01,Lohnsteuer,59475.0,2011-12-01,,12,9429.0,,54759.0,59475.0,2011
2012-01-01,Lohnsteuer,3587.0,2012-01-01,,1,3587.0,,3473.0,59589.0,2012
2012-02-01,Lohnsteuer,8207.0,2012-02-01,,2,4620.0,,7872.0,59810.0,2012
2012-03-01,Lohnsteuer,12743.0,2012-03-01,,3,4536.0,,12146.0,60072.0,2012
2012-04-01,Lohnsteuer,17904.0,2012-04-01,,4,5161.0,,16989.0,60390.0,2012
2012-05-01,Lohnsteuer,22523.0,2012-05-01,,5,4619.0,,21483.0,60515.0,2012
