Date,Category,1,2,3,4,Prior Year Total,Current Year Total,7,Month,Year
1/1/09,I. Steuern,239 231,233 180,"87,3","89,4",14534,15620,"7,5",1,2009
1/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,185 508,"84,5","83,8",14078,14648,"4,0",1,2009
1/1/09,Einkommen- und Körperschaftsteuer (einschl. Zinsabschlag),96 379,86 015,"38,8","40,6",6469,7102,"9,8",1,2009
1/1/09,Lohnsteuer,60 310,52 500,"22,4","22,8",3728,3984,"6,9",1,2009
1/1/09,veranlagte Einkommensteuer,13 899,12 708,"2,0","1,4",337,236,"-30,0",1,2009
1/1/09,nicht veranlagte Steuer vom Ertrag,8 305,8 695,"4,8","6,0",796,1040,"30,7",1,2009
1/1/09,Zinsabschlag,5 922,5 174,"9,7","9,9",1621,1724,"6,4",1,2009
1/1/09,Körperschaftssteuer,7 943,6 938,"-0,1","0,7",-14,117,X,1,2009
1/1/09,Steuern vom Umsatz,95 806,98 147,"45,6","0,0",7601,7560,"-0,5",1,2009
1/1/09,Gewerbesteuerumlage,1 348,1 346,"0,0","43,3",8,-14,X,1,2009
1/1/09,Energiesteuer,39 248,39 357,"2,2","-0,1",373,319,"-14,5",1,2009
1/1/09,Tabaksteuer,13 574,13 450,"1,3","1,8",223,237,"6,3",1,2009
1/1/09,Solidaritätszuschlag,13 146,13 300,"6,1","1,4",1020,1124,"10,2",1,2009
1/1/09,Versicherungsteuer,10 478,10 450,"3,3","6,4",545,543,"-0,4",1,2009
1/1/09,Stromsteuer,6 261,6 200,"3,3","3,1",543,544,"0,2",1,2009
1/1/09,Branntweinabgaben,2 129,2 133,"1,4","114,8",225,200,"-11,1",1,2009
1/1/09,Kaffeesteuer,1 008,1 000,"0,6","42,2",93,94,"1,1",1,2009
1/1/09,Ergänzungszuweisungen an Länder,-14 850,-14 198,0,"19,8",0,0,"0,0",1,2009
1/1/09,BNE-Eigenmittel der EU,-15 340,-18 980,-9,"0,0",-1438,-1238,"-13,9",1,2009
1/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,1 280,-4,"-261,2",-631,-332,"-47,4",1,2009
1/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,-3,"-70,0",-556,-565,"1,6",1,2009
1/1/09,II. Sonstige Einnahmen,31 246,27 159,13,"-119,2",2119,1852,"-12,6",1,2009
1/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,3,"35,9",422,170,"-59,7",1,2009
1/1/09,Zinseinnahmen,737,911,0,"10,5",4,50,"1150,0",1,2009
1/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,3,"100,0",442,474,"7,2",1,2009
1/1/09,Einnahmen zusammen,270 476,260 339,"100,0","100,0",16652,17472,"4,9",1,2009
2/1/09,I. Steuern,239 231,233 180,"87,8","90,3",32519,32912,"1,2",2,2009
2/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,185 508,"77,1","78,1",28566,28470,"-0,3",2,2009
2/1/09,Einkommen- und Körperschaftsteuer(einschl. Zinsabschlag),96 379,86 015,"31,3","32,5",11587,11866,"2,4",2,2009
2/1/09,Lohnsteuer,60 310,52 500,"22,1","23,6",8197,8611,"5,1",2,2009
2/1/09,veranlagte Einkommensteuer,13 899,12 708,"0,9","-1,0",347,-373,X,2,2009
